light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
10.0,10.0,cresh24,54.7122,70.0,45.0,24.2986,-0.5735764363510462,-0.8191520442889917,0.0,1.0,10.0
11.0,11.0,cresh24,59.4398,369.0,48.0,27.6764,-0.6977904598416801,-0.7163019434246545,0.0,1.0,10.0
10.0,10.0,cresh24,59.3681,349.0,49.0,27.8385,-0.7933533402912349,-0.6087614290087209,0.0,1.0,10.0
10.0,11.0,cresh24,59.2172,108.0,52.0,27.9007,-0.8338858220671681,-0.5519369853120584,0.0,1.0,10.0
10.0,11.0,cresh24,59.2622,125.0,52.0,27.8722,-0.8681988144891424,-0.4962165036752081,0.0,1.0,10.0
10.0,11.0,cresh24,59.4398,393.0,55.0,27.8385,-0.9025852843498606,-0.4305110968082952,0.0,1.0,10.0
10.0,10.0,cresh24,59.4277,200.0,48.0,27.9323,-0.9523957996432784,-0.3048642990280112,0.0,1.0,10.0
10.0,10.0,cresh24,59.4508,323.0,52.0,27.8112,-0.9713420698132612,-0.23768589232617346,0.0,1.0,10.0
10.0,10.0,cresh24,59.6576,151.0,49.0,27.7375,-0.9855560590580776,-0.16934950384902486,0.0,1.0,10.0
10.0,10.0,cresh24,58.8607,123.0,53.0,27.9765,-0.9945218953682734,-0.10452846326765336,0.0,1.0,10.0
10.0,10.0,cresh24,58.8145,98.0,48.0,27.9459,-0.9993908270190958,-0.034899496702500754,0.0,1.0,10.0
10.0,10.0,cresh24,58.9812,59.0,48.0,27.8112,-0.999533590836713,0.03053851320982235,0.0,1.0,10.0
10.0,10.0,cresh24,59.1491,37.0,49.0,27.6616,-0.9945218953682734,0.10452846326765301,0.0,1.0,10.0
10.0,10.0,cresh24,59.4824,23.0,52.0,27.5437,-0.9855560590580776,0.1693495038490245,0.0,1.0,10.0
10.0,10.0,cresh24,58.9836,176.0,48.0,27.6332,-0.9713420698132614,0.2376858923261731,0.0,1.0,10.0
10.0,10.0,cresh24,58.3741,171.0,48.0,27.8554,-0.9537169507482268,0.30070579950427345,0.0,1.0,10.0
10.0,10.0,cresh24,59.1454,171.0,47.0,27.53,-0.9304175679820248,0.3665012267242969,0.0,1.0,10.0
10.0,10.0,cresh24,61.4715,171.0,48.0,27.8722,-0.9025852843498609,0.4305110968082949,0.0,1.0,10.0
10.0,10.0,cresh24,61.0202,171.0,50.0,28.1986,-0.8703556959398998,0.4924235601034669,0.0,1.0,10.0
10.0,11.0,cresh24,85.0376,46.0,50.0,25.8211,-0.9396926207859084,-0.3420201433256685,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh24,82.6374,45.0,45.0,25.6594,-0.9612616959383191,-0.2756373558169989,0.7818314824680297,0.6234898018587336,9.0
10.0,11.0,cresh24,82.08200000000002,46.0,46.0,25.3507,-0.9772311064626787,-0.21217767215644648,0.7818314824680297,0.6234898018587336,9.0
10.0,11.0,cresh24,80.6773,46.0,54.0,25.5729,-0.9883615104677608,-0.15212338618991714,0.7818314824680297,0.6234898018587336,9.0
9.0,10.0,cresh24,96.7113,23.0,67.0,24.5692,-0.9969173337331279,-0.07845909572784468,0.7818314824680297,0.6234898018587336,9.0
9.0,10.0,cresh24,96.8317,24.0,65.0,24.3638,-0.9999143275740071,-0.013089595571344698,0.7818314824680297,0.6234898018587336,9.0
9.0,11.0,cresh24,97.249,17.0,66.0,24.527,-0.9986295347545738,0.052335956242943946,0.7818314824680297,0.6234898018587336,9.0
9.0,11.0,cresh24,97.6018,14.0,67.0,24.3186,-0.981627183447664,0.1908089953765451,0.7818314824680297,0.6234898018587336,9.0
10.0,11.0,cresh24,96.0762,83.0,64.0,24.825,-0.9647873238288128,0.2630312144579749,0.7818314824680297,0.6234898018587336,10.0
