light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
10.0,10.0,cresh11,57.3777,60.0,44.0,24.0343,-0.6327053285625159,-0.7743926440821857,0.0,1.0,10.0
10.0,10.0,cresh11,56.6161,60.0,47.0,23.9869,-0.6626200482157376,-0.7489557207890021,0.0,1.0,10.0
10.0,10.0,cresh11,55.2463,60.0,46.0,23.9416,-0.7253743710122875,-0.6883545756937539,0.0,1.0,11.0
11.0,10.0,cresh11,63.3706,158.0,51.0,26.6245,0.17794354547384186,-0.9840406976462908,0.7818314824680297,0.6234898018587336,10.0
10.0,11.0,cresh11,86.1537,176.0,63.0,26.7224,0.12186934340514755,-0.9925461516413221,0.7818314824680297,0.6234898018587336,11.0
11.0,11.0,cresh11,83.7278,195.0,68.0,27.6111,0.034899496702501136,-0.9993908270190958,0.7818314824680297,0.6234898018587336,11.0
10.0,10.0,cresh11,62.3974,313.0,49.0,26.993,-0.4962165036752082,-0.8681988144891423,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh11,58.6916,224.0,53.0,27.2626,-0.5224985647159488,-0.8526401643540923,-0.433883739117558,-0.9009688679024191,11.0
11.0,10.0,cresh11,58.0967,322.0,48.0,27.6616,-0.7431448254773942,-0.6691306063588581,-0.433883739117558,-0.9009688679024191,11.0
10.0,10.0,cresh11,58.2962,358.0,47.0,27.7375,-0.8141155183563193,-0.5807029557109397,-0.433883739117558,-0.9009688679024191,11.0
10.0,10.0,cresh11,58.2245,393.0,52.0,27.8112,-0.8410390129643923,-0.5409744713679939,-0.433883739117558,-0.9009688679024191,10.0
9.0,10.0,cresh11,88.5249,13.0,51.0,25.0722,-0.9099612708765432,-0.4146932426562393,-0.433883739117558,-0.9009688679024191,10.0
11.0,10.0,cresh11,56.9848,1294.0,49.0,28.3903,-0.9304175679820246,-0.3665012267242972,-0.433883739117558,-0.9009688679024191,10.0
11.0,10.0,cresh11,56.3606,1294.0,50.0,28.5703,-0.9469301294951056,-0.3214394653031618,-0.433883739117558,-0.9009688679024191,10.0
11.0,10.0,cresh11,56.6332,1294.0,50.0,28.4798,-0.9600498543859286,-0.2798290140309923,-0.433883739117558,-0.9009688679024191,10.0
11.0,10.0,cresh11,77.9186,253.0,67.0,29.7654,-0.986996366560232,-0.16074256560382602,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh11,59.5737,104.0,50.0,27.1278,0.2376858923261729,-0.9713420698132614,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh11,59.7184,152.0,48.0,27.111,0.19509032201612814,-0.9807852804032304,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh11,59.5299,135.0,49.0,27.1731,0.14349262199117935,-0.9896513868196702,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh11,59.3729,123.0,53.0,27.2342,0.10452846326765372,-0.9945218953682732,0.9749279121818236,-0.22252093395631434,9.0
10.0,10.0,cresh11,59.4046,139.0,49.0,27.2173,0.06104853953485675,-0.998134798421867,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh11,59.2318,142.0,49.0,27.2626,0.01745240643728344,-0.9998476951563912,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh11,59.5104,96.0,49.0,27.3668,-0.2923717047227368,-0.9563047559630354,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh11,59.435,114.0,49.0,27.4258,-0.3255681544571568,-0.9455185755993168,0.9749279121818236,-0.22252093395631434,10.0
11.0,10.0,cresh11,59.3328,236.0,50.0,27.4711,-0.4226182617406993,-0.90630778703665,0.9749279121818236,-0.22252093395631434,10.0
