light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
10.0,10.0,cresh05,57.3278,61.0,46.0,24.0206,-0.6360782202777641,-0.77162458338772,0.0,1.0,10.0
10.0,10.0,cresh05,56.2877,61.0,46.0,23.9279,-0.6723668074346679,-0.7402181274868322,0.0,1.0,10.0
10.0,10.0,cresh05,56.5614,227.0,42.0,22.7381,-0.36650122672429736,-0.9304175679820244,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh05,56.604,225.0,42.0,22.7549,-0.374606593415912,-0.9271838545667874,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh05,54.3204,157.0,42.0,23.571,-0.9990482215818578,0.04361938736533577,0.7818314824680297,0.6234898018587336,11.0
10.0,10.0,cresh05,52.57100000000001,11.0,44.0,24.1975,-0.984807753012208,0.17364817766692994,0.7818314824680297,0.6234898018587336,10.0
11.0,10.0,cresh05,61.3146,183.0,49.0,27.2931,-0.9807852804032304,0.19509032201612828,0.7818314824680297,0.6234898018587336,10.0
11.0,10.0,cresh05,61.4788,172.0,49.0,27.2173,-0.9575713608048144,0.2881962681340896,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh05,85.9274,101.0,64.0,27.8027,-0.9469301294951056,0.3214394653031615,0.7818314824680297,0.6234898018587336,10.0
9.0,10.0,cresh05,85.2011,101.0,67.0,27.7743,-0.945518575599317,0.3255681544571563,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh05,73.837,147.0,69.0,28.9294,0.2249510543438652,-0.9743700647852352,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,62.4254,157.0,48.0,26.8014,0.2121776721564464,-0.9772311064626787,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,62.4083,165.0,47.0,26.8151,0.11753739745783755,-0.9930684569549264,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,62.1249,347.0,46.0,26.8919,0.056692787563377665,-0.9983916705573488,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,62.0166,330.0,46.0,26.874,0.047978128521344185,-0.9988483864849508,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,61.7161,313.0,49.0,26.9783,-0.02181488503456097,-0.9997620270799092,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh05,61.7161,313.0,49.0,26.9783,-0.02181488503456097,-0.9997620270799092,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,61.5883,374.0,48.0,27.0099,-0.056692787563377416,-0.9983916705573488,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,61.8049,326.0,48.0,27.3215,-0.410718852613477,-0.9117620435770888,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,61.5007,451.0,51.0,27.4563,-0.5591929034707467,-0.8290375725550418,0.9749279121818236,-0.22252093395631434,11.0
10.0,10.0,cresh05,62.4752,159.0,46.0,26.8014,0.507538362960704,-0.8616291604415258,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,62.474,191.0,50.0,26.8298,0.3420201433256689,-0.9396926207859084,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,62.1419,156.0,50.0,26.993,0.09584575252022393,-0.9953961983671789,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,62.1419,156.0,50.0,26.993,0.09584575252022393,-0.9953961983671789,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,61.9667,162.0,49.0,27.0962,-0.004363309284746621,-0.9999904807207344,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,61.9837,265.0,53.0,27.3942,-0.410718852613477,-0.9117620435770888,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,61.8353,275.0,48.0,27.4563,-0.4924235601034669,-0.8703556959398997,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,60.7087,412.0,51.0,28.0218,-0.7853169308807446,-0.6190939493098343,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,60.9825,489.0,56.0,27.9596,-0.8141155183563193,-0.5807029557109397,0.43388373911755823,-0.9009688679024191,10.0
10.0,10.0,cresh05,61.6625,119.0,49.0,26.6835,0.6052939880428945,-0.796002002534622,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh05,61.0993,104.0,48.0,26.7287,0.5262139236518694,-0.8503522249955631,-0.433883739117558,-0.9009688679024191,10.0
