heartRate_cozie,light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
71.0,10.0,10.0,cresh01,56.3777,60.0,45.0,23.9585,26.875,-0.6691306063588582,-0.7431448254773942,0.0,1.0,10.0
75.0,10.0,10.0,cresh01,55.2353,62.0,45.0,23.751,28.125,-0.7518398074789773,-0.6593458151000691,0.0,1.0,11.0
66.0,10.0,10.0,cresh01,62.3171,283.0,52.0,26.9783,28.375,-0.8849876374630418,-0.4656145203251116,0.0,1.0,9.0
61.0,9.0,10.0,cresh01,61.9886,200.0,49.0,27.1278,28.125,-0.9117620435770885,-0.4107188526134777,0.0,1.0,9.0
54.0,10.0,10.0,cresh01,62.2903,241.0,48.0,27.052,28.125,-0.9381913359224839,-0.3461170570774933,0.0,1.0,9.0
55.0,10.0,10.0,cresh01,61.8402,419.0,49.0,27.1415,28.125,-0.9588197348681929,-0.28401534470392265,0.0,1.0,10.0
69.0,9.0,10.0,cresh01,86.1537,176.0,63.0,26.7224,29.375,0.12186934340514755,-0.9925461516413221,0.7818314824680297,0.6234898018587336,10.0
64.0,9.0,10.0,cresh01,83.3872,203.0,65.0,27.2426,29.5,0.056692787563377665,-0.9983916705573488,0.7818314824680297,0.6234898018587336,10.0
73.0,10.0,10.0,cresh01,62.1808,287.0,49.0,27.052,29.125,-0.5299192642332048,-0.8480480961564261,0.7818314824680297,0.6234898018587336,10.0
60.0,10.0,10.0,cresh01,61.7574,279.0,52.0,27.1562,28.75,-0.6394390019805846,-0.7688418320734597,0.7818314824680297,0.6234898018587336,10.0
64.0,10.0,10.0,cresh01,61.8353,338.0,49.0,27.1278,28.5,-0.6915130557822693,-0.7223639620597557,0.7818314824680297,0.6234898018587336,10.0
62.0,10.0,10.0,cresh01,61.6954,299.0,48.0,27.2626,28.75,-0.900698239322588,-0.4344452574044169,0.7818314824680297,0.6234898018587336,10.0
59.0,10.0,10.0,cresh01,61.4545,551.0,48.0,27.3352,28.75,-0.9271838545667872,-0.3746065934159123,0.7818314824680297,0.6234898018587336,9.0
69.0,11.0,10.0,cresh01,61.3876,376.0,49.0,27.3805,28.5,-0.9681476403781076,-0.25038000405444183,0.7818314824680297,0.6234898018587336,10.0
59.0,10.0,10.0,cresh01,61.5993,282.0,52.0,27.3668,28.75,-0.9824503977255096,-0.18652403600873468,0.7818314824680297,0.6234898018587336,10.0
73.0,10.0,10.0,cresh01,61.7295,333.0,46.0,26.9783,28.625,-0.039259815759068714,-0.9992290362407228,0.9749279121818236,-0.22252093395631434,10.0
59.0,10.0,10.0,cresh01,61.4375,430.0,46.0,27.0825,28.75,-0.09150161866340233,-0.9958049275746618,0.9749279121818236,-0.22252093395631434,10.0
60.0,10.0,10.0,cresh01,61.2051,349.0,46.0,27.2005,28.625,-0.14349262199117913,-0.9896513868196702,0.9749279121818236,-0.22252093395631434,10.0
55.0,10.0,10.0,cresh01,61.3499,334.0,52.0,27.1868,28.375,-0.1950903220161284,-0.9807852804032304,0.9749279121818236,-0.22252093395631434,10.0
65.0,10.0,10.0,cresh01,61.4557,283.0,49.0,27.2173,28.375,-0.25038000405444155,-0.9681476403781076,0.9749279121818236,-0.22252093395631434,10.0
87.0,9.0,10.0,cresh01,73.2948,99.0,64.0,28.2054,28.375,-0.32143946530316153,-0.9469301294951056,0.9749279121818236,-0.22252093395631434,10.0
77.0,10.0,10.0,cresh01,71.7831,98.0,68.0,28.1606,28.5,-0.34202014332566866,-0.9396926207859084,0.9749279121818236,-0.22252093395631434,10.0
61.0,9.0,10.0,cresh01,72.0376,90.0,70.0,28.0573,28.625,-0.3867109616368207,-0.9222009716704518,0.9749279121818236,-0.22252093395631434,10.0
56.0,10.0,11.0,cresh01,61.7939,296.0,53.0,27.4121,28.25,-0.4500984410374351,-0.8929789434111369,0.9749279121818236,-0.22252093395631434,10.0
63.0,10.0,10.0,cresh01,61.8183,387.0,49.0,27.3805,28.125,-0.5112930860770519,-0.8594064115014528,0.9749279121818236,-0.22252093395631434,10.0
67.0,10.0,11.0,cresh01,61.5214,457.0,51.0,27.4258,28.125,-0.5664062369248329,-0.8241261886220156,0.9749279121818236,-0.22252093395631434,10.0
60.0,10.0,10.0,cresh01,61.345,502.0,54.0,27.4984,28.25,-0.6225146366376194,-0.782608156852414,0.9749279121818236,-0.22252093395631434,10.0
55.0,10.0,11.0,cresh01,61.0652,553.0,48.0,27.5743,28.25,-0.6723668074346679,-0.7402181274868322,0.9749279121818236,-0.22252093395631434,10.0
60.0,10.0,10.0,cresh01,60.7769,492.0,47.0,27.6332,28.375,-0.7193398003386512,-0.6946583704589973,0.9749279121818236,-0.22252093395631434,10.0
65.0,10.0,10.0,cresh01,60.7027,384.0,48.0,27.6764,28.375,-0.7660444431189779,-0.6427876096865396,0.9749279121818236,-0.22252093395631434,10.0
57.0,10.0,10.0,cresh01,60.5323,530.0,51.0,27.7069,28.75,-0.8064446042674827,-0.5913096483635824,0.9749279121818236,-0.22252093395631434,10.0
63.0,10.0,10.0,cresh01,60.379,531.0,50.0,27.7522,28.75,-0.8433914458128855,-0.5372996083468242,0.9749279121818236,-0.22252093395631434,10.0
