heartRate_cozie,light_cozie,noise_cozie,user_id,time-numeric,thermal_cozie
73.0,10.0,10.0,cresh04,15.1,10.0
80.0,10.0,10.0,cresh11,15.6,11.0
74.0,10.0,,cresh01,15.9,10.0
83.0,9.0,11.0,cresh13,15.15,10.0
75.0,10.0,10.0,cresh01,15.15,11.0
63.0,10.0,,cresh01,15.35,10.0
91.0,9.0,10.0,cresh06,15.36,11.0
82.0,9.0,10.0,cresh06,15.48,10.0
54.0,10.0,,cresh01,15.53,10.0
66.0,10.0,10.0,cresh01,16.9,9.0
61.0,9.0,10.0,cresh01,16.23,9.0
79.0,10.0,11.0,cresh13,16.24,10.0
54.0,10.0,10.0,cresh01,16.39,9.0
82.0,9.0,11.0,cresh13,16.54,11.0
55.0,10.0,10.0,cresh01,16.54,10.0
64.0,10.0,,cresh01,17.8,9.0
86.0,9.0,11.0,cresh13,17.9,11.0
54.0,10.0,,cresh01,17.25,9.0
92.0,9.0,11.0,cresh13,17.38,11.0
75.0,10.0,10.0,cresh14,18.22,10.0
90.0,9.0,11.0,cresh13,19.19,11.0
95.0,10.0,10.0,cresh14,19.2,9.0
71.0,9.0,11.0,cresh13,19.39,10.0
76.0,9.0,11.0,cresh13,20.17,11.0
88.0,9.0,11.0,cresh13,22.6,11.0
75.0,10.0,10.0,cresh06,9.48,10.0
73.0,11.0,10.0,cresh11,11.19,10.0
69.0,9.0,10.0,cresh01,11.32,10.0
106.0,10.0,11.0,cresh11,11.32,11.0
86.0,9.0,10.0,cresh14,11.42,10.0
64.0,9.0,10.0,cresh01,11.47,10.0
100.0,11.0,11.0,cresh11,11.52,11.0
70.0,10.0,10.0,cresh06,11.56,10.0
70.0,10.0,10.0,cresh06,11.56,10.0
119.0,10.0,10.0,cresh06,12.4,10.0
63.0,10.0,10.0,cresh06,12.19,10.0
63.0,10.0,10.0,cresh06,12.34,10.0
66.0,10.0,10.0,cresh06,12.45,10.0
89.0,10.0,10.0,cresh14,12.53,10.0
64.0,10.0,10.0,cresh06,13.0,10.0
94.0,9.0,10.0,cresh14,13.11,10.0
65.0,10.0,10.0,cresh06,13.15,9.0
82.0,10.0,10.0,cresh05,13.26,10.0
89.0,10.0,10.0,cresh05,13.28,10.0
67.0,10.0,10.0,cresh06,13.3,10.0
84.0,10.0,10.0,cresh14,13.55,10.0
107.0,10.0,10.0,cresh11,13.59,10.0
61.0,10.0,10.0,cresh06,14.0,9.0
73.0,10.0,10.0,cresh01,14.8,10.0
59.0,10.0,10.0,cresh06,14.15,9.0
107.0,10.0,10.0,cresh14,14.25,10.0
60.0,10.0,10.0,cresh06,14.3,9.0
105.0,10.0,10.0,cresh09,14.31,11.0
74.0,10.0,10.0,cresh04,14.36,10.0
60.0,10.0,10.0,cresh01,14.39,10.0
57.0,10.0,10.0,cresh06,14.45,9.0
64.0,10.0,10.0,cresh01,14.55,10.0
80.0,10.0,10.0,cresh14,14.56,10.0
59.0,10.0,10.0,cresh06,15.0,9.0
88.0,10.0,10.0,cresh14,15.1,10.0
62.0,10.0,10.0,cresh06,15.15,9.0
59.0,10.0,10.0,cresh06,15.16,9.0
76.0,10.0,11.0,cresh13,15.17,11.0
96.0,10.0,10.0,cresh09,15.18,11.0
63.0,10.0,10.0,cresh06,15.3,9.0
94.0,9.0,10.0,cresh13,15.42,11.0
77.0,10.0,10.0,cresh04,15.56,10.0
89.0,10.0,10.0,cresh14,15.57,10.0
62.0,10.0,10.0,cresh01,16.17,10.0
81.0,10.0,10.0,cresh14,16.18,10.0
59.0,10.0,10.0,cresh01,16.32,9.0
109.0,10.0,10.0,cresh14,16.34,10.0
64.0,10.0,,cresh01,16.47,9.0
69.0,11.0,10.0,cresh01,17.2,10.0
93.0,9.0,10.0,cresh13,17.16,11.0
59.0,10.0,10.0,cresh01,17.17,10.0
68.0,10.0,10.0,cresh13,17.56,11.0
71.0,10.0,10.0,cresh05,18.1,11.0
72.0,10.0,10.0,cresh13,18.23,11.0
96.0,10.0,10.0,cresh05,18.4,10.0
90.0,11.0,10.0,cresh05,18.45,10.0
69.0,10.0,10.0,cresh13,18.53,10.0
72.0,11.0,10.0,cresh05,19.7,10.0
98.0,10.0,10.0,cresh05,19.15,10.0
108.0,9.0,10.0,cresh05,19.16,10.0
70.0,10.0,11.0,cresh13,19.27,11.0
86.0,10.0,10.0,cresh07,19.39,10.0
76.0,10.0,,cresh07,20.2,10.0
82.0,10.0,10.0,cresh08,20.2,11.0
84.0,10.0,10.0,cresh07,20.22,11.0
76.0,10.0,10.0,cresh07,20.34,10.0
106.0,10.0,10.0,cresh08,20.48,10.0
77.0,10.0,10.0,cresh07,20.49,10.0
111.0,10.0,10.0,cresh07,10.5,10.0
76.0,9.0,11.0,cresh07,10.2,10.0
84.0,9.0,11.0,cresh07,10.35,10.0
78.0,9.0,11.0,cresh07,10.5,10.0
104.0,10.0,11.0,cresh10,10.53,10.0
78.0,9.0,10.0,cresh07,11.6,10.0
94.0,10.0,10.0,cresh05,11.8,11.0
73.0,10.0,10.0,cresh05,11.11,11.0
69.0,10.0,10.0,cresh06,11.15,9.0
62.0,10.0,10.0,cresh06,11.15,9.0
63.0,10.0,10.0,cresh06,11.15,9.0
68.0,10.0,10.0,cresh06,11.16,9.0
76.0,9.0,11.0,cresh07,11.18,10.0
61.0,10.0,10.0,cresh06,11.3,9.0
62.0,10.0,10.0,cresh05,11.33,11.0
65.0,10.0,10.0,cresh06,11.45,9.0
66.0,10.0,10.0,cresh05,11.47,11.0
72.0,10.0,10.0,cresh05,11.49,11.0
75.0,9.0,10.0,cresh07,11.5,10.0
62.0,10.0,10.0,cresh06,12.0,9.0
69.0,10.0,10.0,cresh05,12.5,10.0
70.0,10.0,10.0,cresh05,12.5,11.0
72.0,9.0,11.0,cresh07,12.6,10.0
73.0,10.0,10.0,cresh01,12.9,10.0
66.0,10.0,10.0,cresh05,12.13,11.0
75.0,9.0,11.0,cresh07,12.13,10.0
67.0,10.0,10.0,cresh06,12.15,9.0
59.0,10.0,10.0,cresh01,12.21,10.0
56.0,10.0,10.0,cresh06,12.3,9.0
68.0,9.0,10.0,cresh07,12.32,10.0
60.0,10.0,10.0,cresh01,12.33,10.0
80.0,10.0,10.0,cresh10,12.39,11.0
79.0,9.0,10.0,cresh07,12.44,10.0
60.0,10.0,10.0,cresh06,12.45,9.0
55.0,10.0,10.0,cresh01,12.45,10.0
65.0,10.0,10.0,cresh01,12.58,10.0
63.0,10.0,10.0,cresh06,13.0,9.0
83.0,9.0,10.0,cresh07,13.1,10.0
76.0,10.0,11.0,cresh10,13.7,10.0
61.0,10.0,10.0,cresh06,13.15,9.0
