,index,time,comfort_cozie,heartRate_cozie,lat_cozie,light_cozie,lon_cozie,noise_cozie,responseSpeed_cozie,thermal_cozie,user_id,Floor,Latitude,Longitude,Space_id,steerpath_room,room,co2_sensing,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,voc_sensing,temperature_mbient
47,47,2019-10-01 06:01:15.140000+00:00,9.0,92.0,,10.0,,10.0,2.378,11.0,cresh39,3.0,1.2969200560715168,103.77036378550972,1.0,PLATYPUS,CAFE,-99.0,77.4279,110.0,66.0,27.6318,-99.0,28.75
48,48,2019-10-01 06:04:16.239000+00:00,,88.0,,10.0,,10.0,2885.862,11.0,cresh36,,,,,,,,,,,,,29.75
49,49,2019-10-01 06:13:10.464000+00:00,9.0,71.0,,10.0,,10.0,2.966,11.0,cresh35,2.0,1.297371673226604,103.77104593829125,45.0,FORGE,BUILDING_MATERIALS_LAB,692.0,53.7693,65.0,48.0,24.2986,445.0,30.875
50,50,2019-10-01 07:09:19.663000+00:00,10.0,72.0,,10.0,,,9.08,10.0,cresh37,3.0,1.2968628266859654,103.77046041422409,2.0,BEEHUB,ENERGY_LAB_1,512.0,68.8684,63.0,48.0,25.7306,140.0,27.375
51,51,2019-10-01 07:14:14.008000+00:00,,70.0,,10.0,,10.0,5.165,10.0,cresh39,,,,,,,,,,,,,27.375
52,52,2019-10-01 07:16:15.620000+00:00,,70.0,,10.0,,10.0,5.116,11.0,cresh36,3.0,1.2968540899220904,103.77045331108846,2.0,BEEHUB,ENERGY_LAB_1,502.0,69.0229,56.0,46.0,25.5252,133.0,29.875
53,53,2019-10-01 07:18:22.515000+00:00,,72.0,,10.0,,10.0,641.715,10.0,cresh35,3.0,1.2968770987055722,103.770563711829,-1.0,undefined,no_sensor,,,,,,,29.375
54,54,2019-10-01 07:34:15.772000+00:00,,,,,,,1156.715,,cresh40,,,,,,,,,,,,,28.75
55,55,2019-10-01 07:34:36.396000+00:00,10.0,,,10.0,,10.0,4.429,10.0,cresh40,,,,,,,,,,,,,28.75
56,56,2019-10-01 07:44:13.808000+00:00,10.0,79.0,,10.0,,10.0,2.7199999999999998,10.0,cresh40,,,,,,,,,,,,,29.625
57,57,2019-10-01 07:51:06.575000+00:00,10.0,75.0,1.3075416667,10.0,103.7734033333,10.0,1.054,10.0,cresh40,,,,,,,,,,,,,29.875
58,58,2019-10-01 08:02:32.418000+00:00,9.0,69.0,,10.0,,10.0,2.271,11.0,cresh36,3.0,1.2968793596195693,103.77046711821407,3.0,BEEHUB_TRAINING_ROOM,no_sensor,,,,,,,29.375
59,59,2019-10-01 08:17:26.260000+00:00,10.0,71.0,,10.0,,10.0,1.284,10.0,cresh39,,,,,,,,,,,,,26.25
60,60,2019-10-01 09:16:17.692000+00:00,,103.0,,10.0,,10.0,7.025,11.0,cresh36,,,,,,,,,,,,,29.0
61,61,2019-10-01 10:59:47.216000+00:00,,73.0,,10.0,,10.0,6338.234,11.0,cresh39,,,,,,,,,,,,,28.125
62,62,2019-10-01 23:22:06.008000+00:00,10.0,82.0,,10.0,,10.0,1.185,10.0,cresh39,,,,,,,,,,,,,27.0
63,63,2019-10-01 23:22:11.631000+00:00,10.0,82.0,,10.0,,10.0,2.545,10.0,cresh39,,,,,,,,,,,,,27.0
64,64,2019-10-02 00:23:20.280000+00:00,10.0,89.0,,10.0,,10.0,1.913,10.0,cresh39,,,,,,,,,,,,,25.875
65,65,2019-10-02 01:28:10.615000+00:00,,76.0,,10.0,,10.0,840.593,10.0,cresh39,,,,,,,,,,,,,27.5
66,66,2019-10-02 01:59:51.286000+00:00,9.0,113.0,,9.0,,10.0,4.61,11.0,cresh39,2.0,1.297387181683553,103.77105039591811,45.0,FORGE,BUILDING_MATERIALS_LAB,518.0,54.3448,67.0,44.0,23.7952,158.0,28.0
67,67,2019-10-02 02:04:32.104000+00:00,,75.0,,10.0,,10.0,3410.175,,cresh35,2.0,1.2973781733543457,103.77104593829125,45.0,FORGE,BUILDING_MATERIALS_LAB,538.0,54.4701,69.0,45.0,23.869,161.0,30.125
68,68,2019-10-02 02:05:10.840000+00:00,9.0,87.0,,10.0,,10.0,6.356,11.0,cresh35,2.0,1.2973781733543457,103.77104593829125,45.0,FORGE,BUILDING_MATERIALS_LAB,538.0,54.4701,69.0,45.0,23.869,161.0,30.125
