heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,time-numeric
90.0,10.0,,10.0,cresh14,11.41
93.0,10.0,11.0,10.0,cresh13,12.13
79.0,10.0,11.0,9.0,cresh13,13.7
70.0,9.0,11.0,9.0,cresh15,13.11
70.0,10.0,10.0,11.0,cresh03,13.31
78.0,9.0,11.0,9.0,cresh15,13.32
75.0,9.0,11.0,9.0,cresh15,13.36
94.0,9.0,11.0,11.0,cresh14,13.43
84.0,10.0,10.0,11.0,cresh03,13.44
94.0,9.0,11.0,9.0,cresh14,13.53
75.0,9.0,11.0,11.0,cresh15,14.2
,10.0,10.0,10.0,cresh05,14.11
87.0,9.0,11.0,11.0,cresh15,14.21
109.0,10.0,10.0,10.0,cresh11,14.37
,10.0,10.0,10.0,cresh01,14.37
69.0,10.0,10.0,10.0,cresh05,14.38
85.0,9.0,11.0,10.0,cresh13,14.44
122.0,10.0,10.0,10.0,cresh11,14.46
71.0,10.0,10.0,10.0,cresh01,14.48
92.0,10.0,10.0,10.0,cresh05,14.49
,10.0,10.0,10.0,cresh04,14.53
73.0,10.0,10.0,10.0,cresh04,15.1
80.0,10.0,10.0,11.0,cresh11,15.6
74.0,10.0,,10.0,cresh01,15.9
83.0,9.0,11.0,10.0,cresh13,15.15
75.0,10.0,10.0,11.0,cresh01,15.15
63.0,10.0,,10.0,cresh01,15.35
91.0,9.0,10.0,11.0,cresh06,15.36
82.0,9.0,10.0,10.0,cresh06,15.48
54.0,10.0,,10.0,cresh01,15.53
66.0,10.0,10.0,9.0,cresh01,16.9
61.0,9.0,10.0,9.0,cresh01,16.23
79.0,10.0,11.0,10.0,cresh13,16.24
54.0,10.0,10.0,9.0,cresh01,16.39
82.0,9.0,11.0,11.0,cresh13,16.54
55.0,10.0,10.0,10.0,cresh01,16.54
64.0,10.0,,9.0,cresh01,17.8
86.0,9.0,11.0,11.0,cresh13,17.9
54.0,10.0,,9.0,cresh01,17.25
92.0,9.0,11.0,11.0,cresh13,17.38
75.0,10.0,10.0,10.0,cresh14,18.22
90.0,9.0,11.0,11.0,cresh13,19.19
95.0,10.0,10.0,9.0,cresh14,19.20
71.0,9.0,11.0,10.0,cresh13,19.39
76.0,9.0,11.0,11.0,cresh13,20.17
88.0,9.0,11.0,11.0,cresh13,22.6
75.0,10.0,10.0,10.0,cresh06,9.48
73.0,11.0,10.0,10.0,cresh11,11.19
69.0,9.0,10.0,10.0,cresh01,11.32
106.0,10.0,11.0,11.0,cresh11,11.32
69.0,10.0,10.0,11.0,cresh15,11.39
86.0,9.0,10.0,10.0,cresh14,11.42
64.0,9.0,10.0,10.0,cresh01,11.47
100.0,11.0,11.0,11.0,cresh11,11.52
70.0,10.0,10.0,10.0,cresh06,11.56
70.0,10.0,10.0,10.0,cresh06,11.56
119.0,10.0,10.0,10.0,cresh06,12.4
63.0,10.0,10.0,10.0,cresh06,12.19
63.0,10.0,10.0,10.0,cresh06,12.34
66.0,10.0,10.0,10.0,cresh06,12.45
89.0,10.0,10.0,10.0,cresh14,12.53
64.0,10.0,10.0,10.0,cresh06,13.0
94.0,9.0,10.0,10.0,cresh14,13.11
65.0,10.0,10.0,9.0,cresh06,13.15
82.0,10.0,10.0,10.0,cresh05,13.26
89.0,10.0,10.0,10.0,cresh05,13.28
67.0,10.0,10.0,10.0,cresh06,13.30
84.0,10.0,10.0,10.0,cresh14,13.55
107.0,10.0,10.0,10.0,cresh11,13.59
61.0,10.0,10.0,9.0,cresh06,14.0
73.0,10.0,10.0,10.0,cresh01,14.8
59.0,10.0,10.0,9.0,cresh06,14.15
107.0,10.0,10.0,10.0,cresh14,14.25
60.0,10.0,10.0,9.0,cresh06,14.30
105.0,10.0,10.0,11.0,cresh09,14.31
74.0,10.0,10.0,10.0,cresh04,14.36
60.0,10.0,10.0,10.0,cresh01,14.39
57.0,10.0,10.0,9.0,cresh06,14.45
64.0,10.0,10.0,10.0,cresh01,14.55
80.0,10.0,10.0,10.0,cresh14,14.56
59.0,10.0,10.0,9.0,cresh06,15.0
88.0,10.0,10.0,10.0,cresh14,15.10
62.0,10.0,10.0,9.0,cresh06,15.15
59.0,10.0,10.0,9.0,cresh06,15.16
76.0,10.0,11.0,11.0,cresh13,15.17
96.0,10.0,10.0,11.0,cresh09,15.18
63.0,10.0,10.0,9.0,cresh06,15.30
94.0,9.0,10.0,11.0,cresh13,15.42
77.0,10.0,10.0,10.0,cresh04,15.56
89.0,10.0,10.0,10.0,cresh14,15.57
62.0,10.0,10.0,10.0,cresh01,16.17
81.0,10.0,10.0,10.0,cresh14,16.18
59.0,10.0,10.0,9.0,cresh01,16.32
109.0,10.0,10.0,10.0,cresh14,16.34
64.0,10.0,,9.0,cresh01,16.47
69.0,11.0,10.0,10.0,cresh01,17.2
93.0,9.0,10.0,11.0,cresh13,17.16
59.0,10.0,10.0,10.0,cresh01,17.17
68.0,10.0,10.0,11.0,cresh13,17.56
71.0,10.0,10.0,11.0,cresh05,18.10
72.0,10.0,10.0,11.0,cresh13,18.23
96.0,10.0,10.0,10.0,cresh05,18.40
90.0,11.0,10.0,10.0,cresh05,18.45
69.0,10.0,10.0,10.0,cresh13,18.53
72.0,11.0,10.0,10.0,cresh05,19.7
98.0,10.0,10.0,10.0,cresh05,19.15
108.0,9.0,10.0,10.0,cresh05,19.16
70.0,10.0,11.0,11.0,cresh13,19.27
86.0,10.0,10.0,10.0,cresh07,19.39
76.0,10.0,,10.0,cresh07,20.2
82.0,10.0,10.0,11.0,cresh08,20.2
84.0,10.0,10.0,11.0,cresh07,20.22
76.0,10.0,10.0,10.0,cresh07,20.34
106.0,10.0,10.0,10.0,cresh08,20.48
77.0,10.0,10.0,10.0,cresh07,20.49
111.0,10.0,10.0,10.0,cresh07,10.5
76.0,9.0,11.0,10.0,cresh07,10.20
84.0,9.0,11.0,10.0,cresh07,10.35
78.0,9.0,11.0,10.0,cresh07,10.50
104.0,10.0,11.0,10.0,cresh10,10.53
78.0,9.0,10.0,10.0,cresh07,11.6
94.0,10.0,10.0,11.0,cresh05,11.8
73.0,10.0,10.0,11.0,cresh05,11.11
69.0,10.0,10.0,9.0,cresh06,11.15
62.0,10.0,10.0,9.0,cresh06,11.15
63.0,10.0,10.0,9.0,cresh06,11.15
68.0,10.0,10.0,9.0,cresh06,11.16
