heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,time-numeric
90.0,9.0,10.0,11.0,cresh12,13.9
85.0,10.0,10.0,11.0,cresh13,13.10
88.0,9.0,10.0,11.0,cresh12,13.13
66.0,10.0,10.0,9.0,cresh06,13.31
64.0,9.0,11.0,11.0,cresh12,13.33
72.0,10.0,10.0,10.0,cresh08,13.38
78.0,10.0,10.0,11.0,cresh08,13.40
68.0,10.0,11.0,11.0,cresh12,13.50
91.0,10.0,10.0,10.0,cresh08,13.51
86.0,10.0,11.0,10.0,cresh08,14.1
60.0,10.0,10.0,9.0,cresh06,14.1
59.0,10.0,10.0,9.0,cresh06,14.16
83.0,10.0,10.0,10.0,cresh08,14.17
94.0,10.0,10.0,10.0,cresh12,14.20
85.0,10.0,11.0,10.0,cresh08,14.26
77.0,10.0,10.0,10.0,cresh12,14.36
82.0,10.0,10.0,10.0,cresh08,14.39
76.0,10.0,11.0,11.0,cresh08,14.48
69.0,10.0,10.0,10.0,cresh12,14.50
79.0,10.0,11.0,10.0,cresh08,14.58
85.0,10.0,10.0,11.0,cresh13,15.0
93.0,10.0,11.0,10.0,cresh08,15.7
63.0,10.0,10.0,10.0,cresh12,15.7
66.0,10.0,10.0,10.0,cresh12,15.13
93.0,10.0,10.0,10.0,cresh08,15.16
69.0,10.0,10.0,10.0,cresh12,15.23
,10.0,11.0,10.0,cresh03,15.29
72.0,10.0,10.0,10.0,cresh08,15.37
83.0,10.0,10.0,10.0,cresh12,15.43
,10.0,11.0,10.0,cresh03,15.50
61.0,10.0,10.0,10.0,cresh08,15.51
68.0,10.0,10.0,10.0,cresh12,16.0
63.0,10.0,10.0,10.0,cresh08,16.1
,10.0,11.0,10.0,cresh03,16.7
66.0,10.0,10.0,10.0,cresh08,16.10
59.0,10.0,10.0,10.0,cresh12,16.15
,10.0,11.0,10.0,cresh03,16.20
60.0,10.0,10.0,10.0,cresh12,16.31
70.0,10.0,11.0,10.0,cresh03,16.35
67.0,10.0,10.0,10.0,cresh12,16.50
55.0,10.0,10.0,10.0,cresh08,16.52
,10.0,11.0,10.0,cresh03,16.56
57.0,10.0,10.0,10.0,cresh08,16.56
64.0,10.0,10.0,9.0,cresh12,17.2
62.0,10.0,10.0,10.0,cresh08,17.3
61.0,10.0,10.0,10.0,cresh08,17.12
92.0,10.0,10.0,10.0,cresh12,17.13
54.0,10.0,10.0,10.0,cresh12,17.18
77.0,10.0,10.0,10.0,cresh08,17.21
62.0,10.0,10.0,9.0,cresh12,17.32
59.0,10.0,10.0,10.0,cresh08,17.41
64.0,10.0,10.0,9.0,cresh12,17.47
58.0,10.0,10.0,10.0,cresh08,17.50
53.0,11.0,10.0,10.0,cresh08,17.59
59.0,10.0,10.0,10.0,cresh08,18.8
94.0,10.0,10.0,11.0,cresh13,19.6
69.0,10.0,10.0,10.0,cresh11,11.5
110.0,10.0,10.0,10.0,cresh04,11.5
84.0,10.0,10.0,10.0,cresh11,11.15
84.0,10.0,10.0,10.0,cresh11,11.27
78.0,10.0,10.0,9.0,cresh11,11.36
75.0,10.0,10.0,10.0,cresh11,11.46
78.0,10.0,10.0,10.0,cresh10,11.50
73.0,10.0,10.0,10.0,cresh11,11.56
95.0,10.0,10.0,11.0,cresh09,11.58
101.0,10.0,11.0,11.0,cresh06,11.58
90.0,10.0,11.0,11.0,cresh06,11.59
78.0,10.0,10.0,9.0,cresh10,12.17
94.0,11.0,10.0,11.0,cresh09,12.19
78.0,10.0,10.0,10.0,cresh04,12.28
79.0,10.0,10.0,10.0,cresh10,12.31
110.0,10.0,10.0,10.0,cresh04,12.36
107.0,9.0,10.0,10.0,cresh09,12.37
116.0,10.0,11.0,11.0,cresh06,12.43
69.0,10.0,10.0,11.0,cresh06,12.59
80.0,10.0,10.0,10.0,cresh04,13.1
80.0,10.0,10.0,10.0,cresh11,13.8
80.0,10.0,10.0,10.0,cresh10,13.9
79.0,10.0,10.0,10.0,cresh04,13.11
95.0,9.0,10.0,11.0,cresh09,13.12
67.0,10.0,10.0,11.0,cresh06,13.14
80.0,10.0,10.0,10.0,cresh11,13.16
82.0,10.0,10.0,10.0,cresh04,13.31
70.0,10.0,10.0,10.0,cresh06,13.33
96.0,9.0,10.0,11.0,cresh09,13.34
82.0,10.0,10.0,10.0,cresh10,13.37
72.0,11.0,10.0,10.0,cresh11,13.40
76.0,10.0,10.0,10.0,cresh04,13.41
68.0,10.0,10.0,10.0,cresh06,13.45
98.0,10.0,10.0,10.0,cresh04,13.51
96.0,11.0,10.0,11.0,cresh10,13.51
88.0,9.0,10.0,11.0,cresh09,13.54
68.0,10.0,10.0,10.0,cresh06,14.0
74.0,11.0,10.0,10.0,cresh11,14.0
66.0,10.0,10.0,11.0,cresh12,14.3
73.0,11.0,10.0,10.0,cresh11,14.10
93.0,10.0,10.0,10.0,cresh09,14.14
82.0,10.0,10.0,10.0,cresh04,14.16
71.0,10.0,10.0,11.0,cresh12,14.17
77.0,10.0,10.0,10.0,cresh04,14.25
65.0,11.0,10.0,10.0,cresh11,14.26
66.0,10.0,10.0,10.0,cresh06,14.30
61.0,10.0,10.0,11.0,cresh12,14.32
86.0,10.0,10.0,11.0,cresh09,14.35
73.0,11.0,10.0,11.0,cresh11,14.36
60.0,10.0,10.0,9.0,cresh06,14.45
79.0,10.0,10.0,10.0,cresh04,14.46
61.0,10.0,10.0,11.0,cresh12,14.50
86.0,10.0,10.0,11.0,cresh09,14.55
70.0,11.0,10.0,11.0,cresh11,14.55
58.0,10.0,10.0,9.0,cresh06,15.0
76.0,11.0,10.0,11.0,cresh11,15.7
86.0,10.0,10.0,10.0,cresh04,15.8
86.0,10.0,10.0,10.0,cresh04,15.11
69.0,10.0,11.0,10.0,cresh12,15.13
62.0,10.0,10.0,9.0,cresh06,15.15
89.0,10.0,10.0,10.0,cresh09,15.15
70.0,11.0,10.0,11.0,cresh11,15.16
71.0,10.0,10.0,11.0,cresh11,15.28
58.0,10.0,10.0,10.0,cresh06,15.30
110.0,10.0,10.0,10.0,cresh10,15.30
65.0,10.0,10.0,11.0,cresh12,15.31
96.0,10.0,10.0,10.0,cresh09,15.35
65.0,11.0,10.0,10.0,cresh11,15.40
69.0,10.0,10.0,11.0,cresh12,15.46
78.0,11.0,10.0,10.0,cresh11,15.50
87.0,10.0,10.0,10.0,cresh09,15.55
67.0,10.0,10.0,11.0,cresh12,16.3
82.0,10.0,10.0,11.0,cresh09,16.15
63.0,11.0,10.0,10.0,cresh11,16.16
57.0,10.0,11.0,11.0,cresh12,16.21
105.0,10.0,10.0,10.0,cresh11,16.26
86.0,10.0,10.0,11.0,cresh09,16.35
82.0,11.0,10.0,11.0,cresh11,16.36
74.0,11.0,10.0,11.0,cresh11,16.46
57.0,10.0,10.0,11.0,cresh12,16.50
82.0,10.0,10.0,10.0,cresh11,16.55
87.0,10.0,10.0,11.0,cresh09,16.55
69.0,10.0,10.0,11.0,cresh12,17.5
83.0,9.0,11.0,11.0,cresh12,17.13
83.0,10.0,10.0,11.0,cresh09,17.15
86.0,10.0,11.0,11.0,cresh09,17.16
72.0,9.0,11.0,11.0,cresh12,17.37
72.0,9.0,10.0,10.0,cresh13,18.34
91.0,10.0,10.0,10.0,cresh08,18.48
59.0,10.0,10.0,10.0,cresh08,18.57
51.0,10.0,10.0,10.0,cresh08,19.6
59.0,11.0,11.0,10.0,cresh08,19.34
58.0,11.0,10.0,10.0,cresh08,19.43
92.0,10.0,10.0,11.0,cresh13,20.40
89.0,10.0,10.0,10.0,cresh06,9.48
89.0,10.0,10.0,10.0,cresh06,9.48
94.0,,10.0,11.0,cresh11,10.15
67.0,10.0,10.0,10.0,cresh06,10.16
64.0,10.0,10.0,10.0,cresh06,10.30
87.0,10.0,10.0,10.0,cresh04,10.32
85.0,10.0,10.0,11.0,cresh11,10.35
62.0,10.0,10.0,10.0,cresh06,10.48
74.0,10.0,10.0,11.0,cresh13,10.52
92.0,10.0,10.0,10.0,cresh04,11.5
55.0,10.0,10.0,9.0,cresh06,11.15
60.0,10.0,10.0,9.0,cresh06,11.38
79.0,10.0,10.0,10.0,cresh09,11.45
62.0,10.0,10.0,9.0,cresh06,12.1
96.0,10.0,10.0,10.0,cresh09,12.4
98.0,9.0,10.0,11.0,cresh09,12.45
72.0,10.0,11.0,10.0,cresh13,12.46
93.0,9.0,10.0,11.0,cresh09,13.7
94.0,9.0,10.0,11.0,cresh09,13.22
98.0,9.0,11.0,11.0,cresh13,13.37
96.0,10.0,10.0,10.0,cresh09,13.44
93.0,10.0,10.0,10.0,cresh09,14.3
92.0,10.0,10.0,11.0,cresh09,14.24
76.0,9.0,11.0,11.0,cresh13,14.30
92.0,10.0,10.0,10.0,cresh09,14.44
79.0,10.0,10.0,10.0,cresh06,14.52
97.0,10.0,10.0,10.0,cresh09,15.5
74.0,10.0,10.0,11.0,cresh06,15.7
74.0,9.0,11.0,11.0,cresh13,15.20
98.0,10.0,10.0,10.0,cresh09,15.23
73.0,10.0,10.0,10.0,cresh06,15.33
90.0,10.0,10.0,10.0,cresh09,15.44
77.0,10.0,10.0,10.0,cresh06,15.46
67.0,10.0,10.0,10.0,cresh06,16.0
85.0,10.0,10.0,10.0,cresh09,16.4
81.0,9.0,11.0,11.0,cresh15,16.7
70.0,10.0,10.0,10.0,cresh06,16.20
74.0,9.0,11.0,11.0,cresh15,16.27
88.0,10.0,10.0,11.0,cresh09,16.27
71.0,10.0,10.0,10.0,cresh06,16.29
83.0,10.0,10.0,10.0,cresh09,16.44
82.0,9.0,11.0,11.0,cresh15,16.44
69.0,10.0,10.0,10.0,cresh06,16.45
81.0,9.0,11.0,11.0,cresh15,17.2
75.0,10.0,10.0,11.0,cresh09,17.6
67.0,10.0,10.0,10.0,cresh06,17.7
66.0,9.0,11.0,11.0,cresh15,17.19
70.0,10.0,10.0,11.0,cresh13,17.19
82.0,10.0,10.0,10.0,cresh09,17.24
72.0,9.0,11.0,11.0,cresh15,17.36
84.0,10.0,10.0,10.0,cresh09,17.44
64.0,10.0,10.0,10.0,cresh06,17.47
69.0,9.0,11.0,11.0,cresh15,17.54
81.0,10.0,10.0,10.0,cresh09,18.4
82.0,9.0,11.0,11.0,cresh13,18.14
94.0,10.0,10.0,10.0,cresh09,18.43
72.0,10.0,10.0,9.0,cresh14,18.53
84.0,10.0,10.0,10.0,cresh09,19.3
75.0,10.0,10.0,9.0,cresh14,19.12
82.0,10.0,10.0,10.0,cresh09,19.20
70.0,10.0,10.0,9.0,cresh14,19.34
73.0,10.0,10.0,9.0,cresh14,19.46
73.0,10.0,10.0,11.0,cresh13,20.18
97.0,10.0,10.0,10.0,cresh06,12.32
85.0,10.0,10.0,10.0,cresh06,12.35
61.0,9.0,10.0,10.0,cresh06,12.44
59.0,9.0,10.0,10.0,cresh06,13.0
57.0,9.0,10.0,9.0,cresh06,13.15
59.0,9.0,10.0,9.0,cresh06,13.15
61.0,9.0,10.0,9.0,cresh06,13.30
58.0,9.0,10.0,9.0,cresh06,13.45
91.0,10.0,10.0,11.0,cresh09,13.56
78.0,9.0,11.0,11.0,cresh15,14.10
57.0,10.0,10.0,9.0,cresh06,14.15
97.0,10.0,10.0,10.0,cresh09,14.16
72.0,9.0,11.0,11.0,cresh15,14.26
63.0,9.0,10.0,9.0,cresh06,14.30
96.0,10.0,10.0,10.0,cresh09,14.37
68.0,9.0,11.0,11.0,cresh15,14.43
96.0,11.0,11.0,10.0,cresh10,14.43
58.0,10.0,10.0,9.0,cresh06,14.45
96.0,10.0,10.0,9.0,cresh09,14.56
79.0,10.0,10.0,10.0,cresh10,14.58
65.0,9.0,11.0,11.0,cresh15,14.58
63.0,10.0,11.0,9.0,cresh06,15.0
102.0,10.0,10.0,10.0,cresh10,15.10
69.0,9.0,11.0,11.0,cresh15,15.14
58.0,9.0,10.0,9.0,cresh06,15.15
91.0,10.0,10.0,10.0,cresh09,15.16
78.0,10.0,10.0,10.0,cresh10,15.27
60.0,9.0,11.0,11.0,cresh15,15.29
58.0,10.0,10.0,9.0,cresh06,15.31
77.0,10.0,10.0,11.0,cresh10,15.42
105.0,9.0,11.0,11.0,cresh15,15.44
60.0,10.0,11.0,9.0,cresh06,15.45
74.0,10.0,10.0,11.0,cresh10,15.49
57.0,10.0,11.0,9.0,cresh06,15.53
62.0,10.0,11.0,9.0,cresh06,15.54
101.0,10.0,11.0,10.0,cresh09,15.55
67.0,10.0,10.0,10.0,cresh10,15.24
81.0,9.0,10.0,10.0,cresh10,15.29
78.0,10.0,10.0,10.0,cresh10,15.34
72.0,10.0,10.0,11.0,cresh10,18.19
72.0,10.0,10.0,10.0,cresh10,18.27
