heartRate_cozie,light_cozie,noise_cozie,user_id,temperature_mbient,time-numeric,thermal_cozie
87.0,10.0,11.0,cresh08,31.25,15.52,10.0
88.0,10.0,10.0,cresh07,30.75,15.52,10.0
96.0,10.0,10.0,cresh09,29.5,15.59,11.0
62.0,10.0,10.0,cresh12,27.625,16.1,11.0
109.0,10.0,10.0,cresh08,29.25,16.18,10.0
66.0,10.0,10.0,cresh12,27.625,16.2,11.0
66.0,10.0,10.0,cresh12,27.5,16.33,11.0
85.0,10.0,10.0,cresh07,30.375,16.39,11.0
69.0,9.0,11.0,cresh06,23.875,8.56,11.0
72.0,9.0,11.0,cresh06,28.0,9.19,11.0
74.0,9.0,11.0,cresh06,27.875,9.31,11.0
66.0,10.0,,cresh14,26.0,11.21,10.0
68.0,10.0,10.0,cresh13,24.75,11.24,10.0
83.0,9.0,10.0,cresh13,27.75,11.4,10.0
90.0,10.0,,cresh14,29.625,11.41,10.0
93.0,10.0,11.0,cresh13,28.25,12.13,10.0
79.0,10.0,11.0,cresh13,27.5,13.7,9.0
94.0,9.0,11.0,cresh14,31.125,13.43,11.0
94.0,9.0,11.0,cresh14,30.5,13.53,9.0
,10.0,10.0,cresh05,24.375,14.11,10.0
109.0,10.0,10.0,cresh11,24.75,14.37,10.0
,10.0,10.0,cresh01,25.25,14.37,10.0
69.0,10.0,10.0,cresh05,24.0,14.38,10.0
85.0,9.0,11.0,cresh13,28.375,14.44,10.0
122.0,10.0,10.0,cresh11,28.5,14.46,10.0
71.0,10.0,10.0,cresh01,26.875,14.48,10.0
92.0,10.0,10.0,cresh05,24.0,14.49,10.0
,10.0,10.0,cresh04,28.625,14.53,10.0
73.0,10.0,10.0,cresh04,28.375,15.1,10.0
80.0,10.0,10.0,cresh11,27.5,15.6,11.0
74.0,10.0,,cresh01,27.875,15.9,10.0
83.0,9.0,11.0,cresh13,28.5,15.15,10.0
75.0,10.0,10.0,cresh01,28.125,15.15,11.0
63.0,10.0,,cresh01,28.375,15.35,10.0
91.0,9.0,10.0,cresh06,25.125,15.36,11.0
82.0,9.0,10.0,cresh06,26.5,15.48,10.0
54.0,10.0,,cresh01,28.625,15.53,10.0
66.0,10.0,10.0,cresh01,28.375,16.9,9.0
61.0,9.0,10.0,cresh01,28.125,16.23,9.0
79.0,10.0,11.0,cresh13,29.0,16.24,10.0
54.0,10.0,10.0,cresh01,28.125,16.39,9.0
82.0,9.0,11.0,cresh13,29.375,16.54,11.0
55.0,10.0,10.0,cresh01,28.125,16.54,10.0
64.0,10.0,,cresh01,28.125,17.8,9.0
86.0,9.0,11.0,cresh13,29.875,17.9,11.0
54.0,10.0,,cresh01,28.375,17.25,9.0
92.0,9.0,11.0,cresh13,28.875,17.38,11.0
75.0,10.0,10.0,cresh14,29.0,18.22,10.0
90.0,9.0,11.0,cresh13,29.5,19.19,11.0
95.0,10.0,10.0,cresh14,28.125,19.2,9.0
71.0,9.0,11.0,cresh13,28.125,19.39,10.0
76.0,9.0,11.0,cresh13,28.125,20.17,11.0
88.0,9.0,11.0,cresh13,30.5,22.6,11.0
75.0,10.0,10.0,cresh06,28.125,9.48,10.0
73.0,11.0,10.0,cresh11,29.5,11.19,10.0
69.0,9.0,10.0,cresh01,29.375,11.32,10.0
106.0,10.0,11.0,cresh11,29.375,11.32,11.0
86.0,9.0,10.0,cresh14,29.0,11.42,10.0
64.0,9.0,10.0,cresh01,29.5,11.47,10.0
100.0,11.0,11.0,cresh11,29.75,11.52,11.0
70.0,10.0,10.0,cresh06,28.375,11.56,10.0
70.0,10.0,10.0,cresh06,28.0,11.56,10.0
119.0,10.0,10.0,cresh06,27.75,12.4,10.0
63.0,10.0,10.0,cresh06,28.375,12.19,10.0
63.0,10.0,10.0,cresh06,28.375,12.34,10.0
