heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric,thermal_cozie
94.0,9.0,11.0,cresh14,OPEN_EXHIBITION_SPACE_2,76.3079,113.0,67.0,28.8704,31.125,13.43,11.0
94.0,9.0,11.0,cresh14,OPEN_EXHIBITION_SPACE_2,85.0345,45.0,66.0,27.3889,30.5,13.53,9.0
,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,58.7695,62.0,46.0,24.3301,24.375,14.11,10.0
109.0,10.0,10.0,cresh11,BUILDING_MATERIALS_LAB,57.3777,60.0,44.0,24.0343,24.75,14.37,10.0
,10.0,10.0,cresh01,BUILDING_MATERIALS_LAB,57.3777,60.0,44.0,24.0343,25.25,14.37,10.0
69.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,57.3278,61.0,46.0,24.0206,24.0,14.38,10.0
85.0,9.0,11.0,cresh13,OPEN_EXHIBITION_SPACE_2,96.3414,41.0,65.0,24.5407,28.375,14.44,10.0
122.0,10.0,10.0,cresh11,BUILDING_MATERIALS_LAB,56.6161,60.0,47.0,23.9869,28.5,14.46,10.0
71.0,10.0,10.0,cresh01,BUILDING_MATERIALS_LAB,56.3777,60.0,45.0,23.9585,26.875,14.48,10.0
92.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,56.2877,61.0,46.0,23.9279,24.0,14.49,10.0
,10.0,10.0,cresh04,BUILDING_MATERIALS_LAB,56.2828,61.0,46.0,23.8826,28.625,14.53,10.0
73.0,10.0,10.0,cresh04,BUILDING_MATERIALS_LAB,55.7816,60.0,45.0,23.8974,28.375,15.1,10.0
80.0,10.0,10.0,cresh11,BUILDING_MATERIALS_LAB,55.2463,60.0,46.0,23.9416,27.5,15.6,11.0
74.0,10.0,,cresh01,BUILDING_MATERIALS_LAB,55.3582,58.0,45.0,23.8237,27.875,15.9,10.0
83.0,9.0,11.0,cresh13,ENERGY_LAB_1,67.79899999999999,22.0,46.0,25.8201,28.5,15.15,10.0
75.0,10.0,10.0,cresh01,BUILDING_MATERIALS_LAB,55.2353,62.0,45.0,23.751,28.125,15.15,11.0
63.0,10.0,,cresh01,IRC_LIBRARY_1,61.9667,98.0,47.0,26.993,28.375,15.35,10.0
91.0,9.0,10.0,cresh06,BUILDING_MATERIALS_LAB,55.5285,60.0,46.0,23.4551,25.125,15.36,11.0
82.0,9.0,10.0,cresh06,BUILDING_MATERIALS_LAB,56.0638,63.0,44.0,23.4836,26.5,15.48,10.0
54.0,10.0,,cresh01,IRC_LIBRARY_1,62.1784,148.0,48.0,26.9783,28.625,15.53,10.0
66.0,10.0,10.0,cresh01,IRC_LIBRARY_1,62.3171,283.0,52.0,26.9783,28.375,16.9,9.0
61.0,9.0,10.0,cresh01,IRC_LIBRARY_1,61.9886,200.0,49.0,27.1278,28.125,16.23,9.0
79.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,61.0603,80.0,48.0,26.5592,29.0,16.24,10.0
54.0,10.0,10.0,cresh01,IRC_LIBRARY_1,62.2903,241.0,48.0,27.052,28.125,16.39,9.0
82.0,9.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.9861,81.0,54.0,26.5761,29.375,16.54,11.0
55.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.8402,419.0,49.0,27.1415,28.125,16.54,10.0
64.0,10.0,,cresh01,IRC_LIBRARY_1,61.8633,167.0,49.0,27.1731,28.125,17.8,9.0
86.0,9.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.716,80.0,55.0,26.6803,29.875,17.9,11.0
54.0,10.0,,cresh01,IRC_LIBRARY_1,61.9557,177.0,48.0,27.2005,28.375,17.25,9.0
92.0,9.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.6418,74.0,55.0,26.6635,28.875,17.38,11.0
75.0,10.0,10.0,cresh14,EXECUTIVE_SEMINAR_ROOM_B,81.4314,17.0,48.0,28.1658,29.0,18.22,10.0
90.0,9.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.1868,62.0,46.0,26.3971,29.5,19.19,11.0
95.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.1868,62.0,46.0,26.3971,28.125,19.2,9.0
71.0,9.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.07,62.0,47.0,26.3655,28.125,19.39,10.0
76.0,9.0,11.0,cresh13,NEAR_DIC_STUDIO_1,61.6273,60.0,54.0,26.3971,28.125,20.17,11.0
88.0,9.0,11.0,cresh13,NEAR_DIC_STUDIO_1,70.4488,62.0,56.0,27.4647,30.5,22.6,11.0
75.0,10.0,10.0,cresh06,EXECUTIVE_SEMINAR_ROOM_B,83.1548,1294.0,47.0,27.0748,28.125,9.48,10.0
73.0,11.0,10.0,cresh11,IRC_LIBRARY_1,63.3706,158.0,51.0,26.6245,29.5,11.19,10.0
69.0,9.0,10.0,cresh01,OPEN_EXHIBITION_SPACE_2,86.1537,176.0,63.0,26.7224,29.375,11.32,10.0
106.0,10.0,11.0,cresh11,OPEN_EXHIBITION_SPACE_2,86.1537,176.0,63.0,26.7224,29.375,11.32,11.0
86.0,9.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.8328,92.0,48.0,26.3234,29.0,11.42,10.0
64.0,9.0,10.0,cresh01,OPEN_EXHIBITION_SPACE_2,83.3872,203.0,65.0,27.2426,29.5,11.47,10.0
100.0,11.0,11.0,cresh11,OPEN_EXHIBITION_SPACE_2,83.7278,195.0,68.0,27.6111,29.75,11.52,11.0
70.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.5041,70.0,45.0,24.5797,28.375,11.56,10.0
70.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3532,70.0,45.0,24.625,28.0,11.56,10.0
119.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.0114,70.0,44.0,24.7155,27.75,12.4,10.0
63.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3983,70.0,44.0,24.3438,28.375,12.19,10.0
63.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.6756,68.0,44.0,24.2712,28.375,12.34,10.0
66.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.4761,68.0,45.0,24.2712,28.625,12.45,10.0
89.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,61.182,84.0,47.0,26.3971,29.125,12.53,10.0
64.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3849,68.0,45.0,24.3301,28.375,13.0,10.0
94.0,9.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.9496,84.0,49.0,26.3971,28.5,13.11,10.0
65.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.6428,71.0,44.0,24.1217,28.125,13.15,9.0
82.0,10.0,10.0,cresh05,BUDS_LAB,56.5614,227.0,42.0,22.7381,25.875,13.26,10.0
89.0,10.0,10.0,cresh05,BUDS_LAB,56.604,225.0,42.0,22.7549,26.625,13.28,10.0
67.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3569,71.0,48.0,24.3754,28.125,13.3,10.0
84.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.5482,89.0,47.0,26.4834,29.5,13.55,10.0
107.0,10.0,10.0,cresh11,IRC_LIBRARY_1,62.3974,313.0,49.0,26.993,29.25,13.59,10.0
61.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3313,70.0,45.0,24.805,27.625,14.0,9.0
73.0,10.0,10.0,cresh01,IRC_LIBRARY_1,62.1808,287.0,49.0,27.052,29.125,14.8,10.0
59.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.6014,66.0,44.0,24.7461,27.75,14.15,9.0
107.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.3012,89.0,65.0,26.5287,28.0,14.25,10.0
60.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3508,65.0,44.0,24.6113,28.25,14.3,9.0
105.0,10.0,10.0,cresh09,OPEN_EXHIBITION_SPACE_2,82.4407,237.0,67.0,28.1597,28.5,14.31,11.0
74.0,10.0,10.0,cresh04,BUDS_LAB,57.2609,187.0,44.0,22.9329,28.375,14.36,10.0
60.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.7574,279.0,52.0,27.1562,28.75,14.39,10.0
57.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.4372,72.0,44.0,24.625,28.125,14.45,9.0
64.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.8353,338.0,49.0,27.1278,28.5,14.55,10.0
80.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.1917,88.0,51.0,26.515,28.5,14.56,10.0
59.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.1197,71.0,44.0,24.6113,28.25,15.0,9.0
88.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.1309,85.0,49.0,26.5592,28.875,15.1,10.0
62.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.9165,68.0,44.0,24.6734,27.875,15.15,9.0
59.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.9615,67.0,44.0,24.6566,28.0,15.16,9.0
76.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.3486,83.0,52.0,26.5592,30.125,15.17,11.0
96.0,10.0,10.0,cresh09,OPEN_EXHIBITION_SPACE_2,77.01100000000002,214.0,64.0,29.0484,31.625,15.18,11.0
63.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.1343,68.0,44.0,24.566,28.5,15.3,9.0
94.0,9.0,10.0,cresh13,NEAR_DIC_STUDIO_1,60.8474,82.0,53.0,26.6635,29.75,15.42,11.0
77.0,10.0,10.0,cresh04,IRC_LIBRARY_1,61.4728,259.0,50.0,27.2931,28.625,15.56,10.0
89.0,10.0,10.0,cresh14,CAFE,74.0191,80.0,69.0,27.6172,29.125,15.57,10.0
62.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.6954,299.0,48.0,27.2626,28.75,16.17,10.0
81.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.4654,77.0,54.0,26.7393,29.25,16.18,10.0
59.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.4545,551.0,48.0,27.3352,28.75,16.32,9.0
109.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.1479,80.0,56.0,26.754,28.625,16.34,10.0
64.0,10.0,,cresh01,IRC_LIBRARY_1,61.5263,121.0,49.0,27.3805,28.75,16.47,9.0
69.0,11.0,10.0,cresh01,IRC_LIBRARY_1,61.3876,376.0,49.0,27.3805,28.5,17.2,10.0
93.0,9.0,10.0,cresh13,NEAR_DIC_STUDIO_1,60.2963,77.0,55.0,26.6803,29.5,17.16,11.0
59.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.5993,282.0,52.0,27.3668,28.75,17.17,10.0
68.0,10.0,10.0,cresh13,NEAR_DIC_STUDIO_1,60.2185,69.0,52.0,26.7087,29.875,17.56,11.0
71.0,10.0,10.0,cresh05,BUDS_LAB,54.3204,157.0,42.0,23.571,25.25,18.1,11.0
72.0,10.0,10.0,cresh13,NEAR_DIC_STUDIO_1,60.2477,65.0,50.0,26.6803,28.875,18.23,11.0
96.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,52.57100000000001,11.0,44.0,24.1975,28.25,18.4,10.0
90.0,11.0,10.0,cresh05,IRC_LIBRARY_1,61.3146,183.0,49.0,27.2931,29.375,18.45,10.0
69.0,10.0,10.0,cresh13,NEAR_DIC_STUDIO_1,60.4131,61.0,51.0,26.5908,28.125,18.53,10.0
72.0,11.0,10.0,cresh05,IRC_LIBRARY_1,61.4788,172.0,49.0,27.2173,29.0,19.7,10.0
98.0,10.0,10.0,cresh05,OPEN_EXHIBITION_SPACE_2,85.9274,101.0,64.0,27.8027,29.375,19.15,10.0
108.0,9.0,10.0,cresh05,OPEN_EXHIBITION_SPACE_2,85.2011,101.0,67.0,27.7743,29.375,19.16,10.0
70.0,10.0,11.0,cresh13,OPEN_EXHIBITION_SPACE_2,87.8472,104.0,64.0,27.4479,30.5,19.27,11.0
86.0,10.0,10.0,cresh07,HOT_DESKING_ARCHITECTURE_STUDIO_SPACE_1,78.3955,1294.0,51.0,26.3686,29.625,19.39,10.0
76.0,10.0,,cresh07,IRC_LIBRARY_1,64.395,171.0,49.0,27.7522,30.125,20.2,10.0
82.0,10.0,10.0,cresh08,IRC_LIBRARY_1,64.395,171.0,49.0,27.7522,28.75,20.2,11.0
84.0,10.0,10.0,cresh07,IRC_LIBRARY_1,64.9765,172.0,51.0,27.9175,30.75,20.22,11.0
76.0,10.0,10.0,cresh07,IRC_LIBRARY_1,65.99,172.0,48.0,27.9007,31.125,20.34,10.0
106.0,10.0,10.0,cresh08,CAFE,71.092,16.0,59.0,29.9983,29.375,20.48,10.0
77.0,10.0,10.0,cresh07,IRC_LIBRARY_1,66.8513,172.0,48.0,27.9007,31.625,20.49,10.0
111.0,10.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,81.9273,132.0,64.0,27.8638,27.875,10.5,10.0
76.0,9.0,11.0,cresh07,OPEN_EXHIBITION_SPACE_2,81.9455,120.0,68.0,28.205,30.25,10.2,10.0
84.0,9.0,11.0,cresh07,OPEN_EXHIBITION_SPACE_2,80.1803,123.0,65.0,28.4545,31.375,10.35,10.0
78.0,9.0,11.0,cresh07,CAFE,72.0935,65.0,64.0,27.3501,31.375,10.5,10.0
