heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric
72.0,10.0,10.0,10.0,cresh35,OUTSIDE_RESTROOM,88.6064,53.0,66.0,28.3418,29.375,15.18
113.0,9.0,10.0,11.0,cresh39,BUDS_LAB,63.7003,45.0,41.0,24.7882,28.0,9.59
87.0,10.0,10.0,11.0,cresh35,BUDS_LAB,61.2757,196.0,44.0,25.1262,30.125,10.5
75.0,10.0,10.0,10.0,cresh39,BUDS_LAB,65.3099,201.0,42.0,26.7308,30.125,11.4
78.0,10.0,10.0,10.0,cresh35,BUILDING_MATERIALS_LAB,54.599,69.0,45.0,23.81,30.875,11.14
77.0,10.0,10.0,10.0,cresh35,BUILDING_MATERIALS_LAB,54.6513,70.0,45.0,23.8826,30.5,11.19
84.0,10.0,10.0,11.0,cresh36,BUILDING_MATERIALS_LAB,54.1416,74.0,45.0,23.7784,29.375,12.44
71.0,10.0,10.0,10.0,cresh39,ENERGY_LAB_1,66.6506,75.0,46.0,26.3992,28.625,12.56
74.0,10.0,10.0,9.0,cresh35,BUDS_LAB,55.0735,173.0,42.0,25.1262,28.125,13.58
110.0,10.0,10.0,10.0,cresh39,IRC_LIBRARY_1,61.7939,118.0,48.0,26.9509,28.875,14.20
105.0,10.0,10.0,10.0,cresh39,IRC_LIBRARY_1,61.7939,118.0,48.0,26.9509,28.875,14.20
75.0,10.0,10.0,10.0,cresh39,IRC_LIBRARY_1,61.5397,109.0,49.0,26.9783,28.375,14.31
95.0,10.0,10.0,10.0,cresh37,ENERGY_LAB_1,67.3878,60.0,47.0,26.4866,27.375,12.36
70.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,54.3496,74.0,46.0,23.750999999999998,26.375,13.20
83.0,10.0,10.0,11.0,cresh10,BUILDING_MATERIALS_LAB,54.3496,74.0,46.0,23.750999999999998,26.75,13.21
,10.0,10.0,10.0,cresh10,BUILDING_MATERIALS_LAB,54.5601,70.0,44.0,23.6015,26.0,13.27
61.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,54.4616,71.0,46.0,23.6015,26.25,13.30
92.0,10.0,10.0,11.0,cresh10,BUILDING_MATERIALS_LAB,54.4616,71.0,46.0,23.6015,26.25,13.30
70.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,54.8265,73.0,47.0,23.5289,25.25,13.51
76.0,10.0,10.0,10.0,cresh07,BUILDING_MATERIALS_LAB,55.1793,65.0,47.0,23.6605,28.75,14.4
76.0,10.0,11.0,11.0,cresh10,BUILDING_MATERIALS_LAB,55.1793,65.0,47.0,23.6605,27.75,14.4
114.0,10.0,10.0,10.0,cresh08,OUTSIDE_RESTROOM,80.5197,44.0,62.0,27.7627,29.125,14.32
78.0,11.0,11.0,11.0,cresh07,OPEN_EXHIBITION_SPACE_2,78.8651,159.0,65.0,27.6248,31.5,14.35
73.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,54.599,63.0,45.0,23.9142,25.625,14.43
59.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,54.2815,63.0,45.0,23.9585,28.5,14.48
75.0,11.0,11.0,11.0,cresh07,ENERGY_LAB_1,66.6834,50.0,46.0,26.6077,30.75,14.49
63.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,53.7425,66.0,45.0,24.049,28.625,15.8
82.0,11.0,11.0,11.0,cresh07,OPEN_EXHIBITION_SPACE_2,74.8613,254.0,65.0,28.5472,31.375,15.11
84.0,10.0,10.0,10.0,cresh08,ENERGY_LAB_1,67.7698,65.0,46.0,26.1633,31.5,15.28
66.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,53.1136,64.0,44.0,24.1975,28.125,15.29
,10.0,10.0,10.0,cresh09,BUDS_LAB,53.7425,195.0,43.0,24.487,28.875,15.46
82.0,11.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,53.453,63.0,45.0,24.5355,27.75,15.46
86.0,10.0,10.0,11.0,cresh09,BUDS_LAB,54.4311,198.0,44.0,24.4733,29.125,15.47
87.0,10.0,11.0,10.0,cresh08,IRC_LIBRARY_1,61.7733,398.0,49.0,26.9193,31.25,15.52
88.0,10.0,10.0,10.0,cresh07,ENERGY_LAB_1,67.7479,55.0,51.0,26.2949,30.75,15.52
96.0,10.0,10.0,11.0,cresh09,BUDS_LAB,55.2353,188.0,47.0,24.8166,29.5,15.59
62.0,10.0,10.0,11.0,cresh12,BUILDING_MATERIALS_LAB,54.0601,63.0,45.0,24.3301,27.625,16.1
109.0,10.0,10.0,10.0,cresh08,BUILDING_MATERIALS_LAB,54.0138,62.0,45.0,24.5944,29.25,16.18
66.0,10.0,10.0,11.0,cresh12,BUDS_LAB,55.2621,171.0,42.0,24.0911,27.625,16.20
66.0,10.0,10.0,11.0,cresh12,BUDS_LAB,54.3764,165.0,42.0,23.7173,27.5,16.33
85.0,10.0,10.0,11.0,cresh07,ENERGY_LAB_1,67.6603,74.0,46.0,26.0728,30.375,16.39
69.0,9.0,11.0,11.0,cresh06,BUILDING_MATERIALS_LAB,55.6757,66.0,44.0,23.4109,23.875,8.56
72.0,9.0,11.0,11.0,cresh06,BUILDING_MATERIALS_LAB,56.2305,67.0,46.0,23.5425,28.0,9.19
80.0,9.0,,9.0,cresh02,BUILDING_MATERIALS_LAB,56.2937,70.0,61.0,23.5878,24.375,9.29
74.0,9.0,11.0,11.0,cresh06,BUILDING_MATERIALS_LAB,56.5419,69.0,46.0,23.5878,27.875,9.31
64.0,10.0,11.0,10.0,cresh02,BUILDING_MATERIALS_LAB,56.5979,66.0,45.0,23.6605,26.5,9.34
66.0,10.0,,10.0,cresh14,BUILDING_MATERIALS_LAB,55.6197,74.0,44.0,23.4109,26.0,11.21
68.0,10.0,10.0,10.0,cresh13,BUILDING_MATERIALS_LAB,55.6185,77.0,47.0,23.4246,24.75,11.24
83.0,9.0,10.0,10.0,cresh13,BUILDING_MATERIALS_LAB,55.6185,68.0,45.0,23.5004,27.75,11.40
90.0,10.0,,10.0,cresh14,BUILDING_MATERIALS_LAB,55.7013,67.0,45.0,23.4836,29.625,11.41
93.0,10.0,11.0,10.0,cresh13,NEAR_DIC_STUDIO_1,61.3389,44.0,53.0,26.2928,28.25,12.13
79.0,10.0,11.0,9.0,cresh13,NEAR_DIC_STUDIO_1,59.7391,46.0,57.0,26.6635,27.5,13.7
70.0,9.0,11.0,9.0,cresh15,BUILDING_MATERIALS_LAB,54.9518,74.0,46.0,23.8974,25.125,13.11
70.0,10.0,10.0,11.0,cresh03,BUILDING_MATERIALS_LAB,55.3192,65.0,47.0,24.0343,25.5,13.31
78.0,9.0,11.0,9.0,cresh15,BUILDING_MATERIALS_LAB,55.1672,64.0,47.0,24.0343,28.5,13.32
75.0,9.0,11.0,9.0,cresh15,BUILDING_MATERIALS_LAB,54.5881,62.0,47.0,24.0795,28.75,13.36
94.0,9.0,11.0,11.0,cresh14,OPEN_EXHIBITION_SPACE_2,76.3079,113.0,67.0,28.8704,31.125,13.43
84.0,10.0,10.0,11.0,cresh03,BUDS_LAB,64.8257,158.0,42.0,23.3456,28.5,13.44
94.0,9.0,11.0,9.0,cresh14,OPEN_EXHIBITION_SPACE_2,85.0345,45.0,66.0,27.3889,30.5,13.53
75.0,9.0,11.0,11.0,cresh15,OPEN_EXHIBITION_SPACE_2,93.1674,25.0,68.0,25.6232,28.375,14.2
,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,58.7695,62.0,46.0,24.3301,24.375,14.11
87.0,9.0,11.0,11.0,cresh15,OPEN_EXHIBITION_SPACE_2,97.6505,30.0,69.0,24.526999999999997,28.5,14.21
109.0,10.0,10.0,10.0,cresh11,BUILDING_MATERIALS_LAB,57.3777,60.0,44.0,24.0343,24.75,14.37
,10.0,10.0,10.0,cresh01,BUILDING_MATERIALS_LAB,57.3777,60.0,44.0,24.0343,25.25,14.37
69.0,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,57.3278,61.0,46.0,24.0206,24.0,14.38
85.0,9.0,11.0,10.0,cresh13,OPEN_EXHIBITION_SPACE_2,96.3414,41.0,65.0,24.5407,28.375,14.44
122.0,10.0,10.0,10.0,cresh11,BUILDING_MATERIALS_LAB,56.6161,60.0,47.0,23.9869,28.5,14.46
71.0,10.0,10.0,10.0,cresh01,BUILDING_MATERIALS_LAB,56.3777,60.0,45.0,23.9585,26.875,14.48
92.0,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,56.2877,61.0,46.0,23.9279,24.0,14.49
,10.0,10.0,10.0,cresh04,BUILDING_MATERIALS_LAB,56.2828,61.0,46.0,23.8826,28.625,14.53
73.0,10.0,10.0,10.0,cresh04,BUILDING_MATERIALS_LAB,55.7816,60.0,45.0,23.8974,28.375,15.1
80.0,10.0,10.0,11.0,cresh11,BUILDING_MATERIALS_LAB,55.2463,60.0,46.0,23.9416,27.5,15.6
74.0,10.0,,10.0,cresh01,BUILDING_MATERIALS_LAB,55.3582,58.0,45.0,23.8237,27.875,15.9
83.0,9.0,11.0,10.0,cresh13,ENERGY_LAB_1,67.79899999999999,22.0,46.0,25.8201,28.5,15.15
75.0,10.0,10.0,11.0,cresh01,BUILDING_MATERIALS_LAB,55.2353,62.0,45.0,23.750999999999998,28.125,15.15
63.0,10.0,,10.0,cresh01,IRC_LIBRARY_1,61.9667,98.0,47.0,26.993000000000002,28.375,15.35
91.0,9.0,10.0,11.0,cresh06,BUILDING_MATERIALS_LAB,55.5285,60.0,46.0,23.4551,25.125,15.36
82.0,9.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,56.0638,63.0,44.0,23.4836,26.5,15.48
54.0,10.0,,10.0,cresh01,IRC_LIBRARY_1,62.1784,148.0,48.0,26.9783,28.625,15.53
66.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,62.3171,283.0,52.0,26.9783,28.375,16.9
61.0,9.0,10.0,9.0,cresh01,IRC_LIBRARY_1,61.9886,200.0,49.0,27.1278,28.125,16.23
79.0,10.0,11.0,10.0,cresh13,NEAR_DIC_STUDIO_1,61.0603,80.0,48.0,26.5592,29.0,16.24
54.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,62.2903,241.0,48.0,27.052,28.125,16.39
82.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.9861,81.0,54.0,26.5761,29.375,16.54
55.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.8402,419.0,49.0,27.1415,28.125,16.54
64.0,10.0,,9.0,cresh01,IRC_LIBRARY_1,61.8633,167.0,49.0,27.1731,28.125,17.8
86.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.716,80.0,55.0,26.6803,29.875,17.9
54.0,10.0,,9.0,cresh01,IRC_LIBRARY_1,61.9557,177.0,48.0,27.2005,28.375,17.25
92.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.6418,74.0,55.0,26.6635,28.875,17.38
75.0,10.0,10.0,10.0,cresh14,EXECUTIVE_SEMINAR_ROOM_B,81.4314,17.0,48.0,28.1658,29.0,18.22
90.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.1868,62.0,46.0,26.3971,29.5,19.19
95.0,10.0,10.0,9.0,cresh14,NEAR_DIC_STUDIO_1,60.1868,62.0,46.0,26.3971,28.125,19.20
71.0,9.0,11.0,10.0,cresh13,NEAR_DIC_STUDIO_1,60.07,62.0,47.0,26.3655,28.125,19.39
76.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,61.6273,60.0,54.0,26.3971,28.125,20.17
