heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,temperature_mbient,time-numeric
84.0,10.0,10.0,11.0,cresh03,BUDS_LAB,28.5,13.44
94.0,9.0,11.0,9.0,cresh14,OPEN_EXHIBITION_SPACE_2,30.5,13.53
75.0,9.0,11.0,11.0,cresh15,OPEN_EXHIBITION_SPACE_2,28.375,14.2
,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,24.375,14.11
87.0,9.0,11.0,11.0,cresh15,OPEN_EXHIBITION_SPACE_2,28.5,14.21
109.0,10.0,10.0,10.0,cresh11,BUILDING_MATERIALS_LAB,24.75,14.37
,10.0,10.0,10.0,cresh01,BUILDING_MATERIALS_LAB,25.25,14.37
69.0,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,24.0,14.38
85.0,9.0,11.0,10.0,cresh13,OPEN_EXHIBITION_SPACE_2,28.375,14.44
122.0,10.0,10.0,10.0,cresh11,BUILDING_MATERIALS_LAB,28.5,14.46
71.0,10.0,10.0,10.0,cresh01,BUILDING_MATERIALS_LAB,26.875,14.48
92.0,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,24.0,14.49
,10.0,10.0,10.0,cresh04,BUILDING_MATERIALS_LAB,28.625,14.53
73.0,10.0,10.0,10.0,cresh04,BUILDING_MATERIALS_LAB,28.375,15.1
80.0,10.0,10.0,11.0,cresh11,BUILDING_MATERIALS_LAB,27.5,15.6
74.0,10.0,,10.0,cresh01,BUILDING_MATERIALS_LAB,27.875,15.9
83.0,9.0,11.0,10.0,cresh13,ENERGY_LAB_1,28.5,15.15
75.0,10.0,10.0,11.0,cresh01,BUILDING_MATERIALS_LAB,28.125,15.15
63.0,10.0,,10.0,cresh01,IRC_LIBRARY_1,28.375,15.35
91.0,9.0,10.0,11.0,cresh06,BUILDING_MATERIALS_LAB,25.125,15.36
82.0,9.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,26.5,15.48
54.0,10.0,,10.0,cresh01,IRC_LIBRARY_1,28.625,15.53
66.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,28.375,16.9
61.0,9.0,10.0,9.0,cresh01,IRC_LIBRARY_1,28.125,16.23
79.0,10.0,11.0,10.0,cresh13,NEAR_DIC_STUDIO_1,29.0,16.24
54.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,28.125,16.39
82.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,29.375,16.54
55.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.125,16.54
64.0,10.0,,9.0,cresh01,IRC_LIBRARY_1,28.125,17.8
