heartRate_cozie,light_cozie,noise_cozie,user_id,room,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
130.0,10.0,10.0,cresh24,4.0,30.125,-0.5735764363510462,-0.8191520442889917,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
85.0,11.0,11.0,cresh24,7.0,29.625,-0.6977904598416801,-0.7163019434246545,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
87.0,10.0,10.0,cresh24,7.0,29.875,-0.7933533402912349,-0.6087614290087209,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
86.0,10.0,11.0,cresh24,7.0,29.875,-0.8338858220671681,-0.5519369853120584,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
81.0,10.0,11.0,cresh24,7.0,29.875,-0.8681988144891424,-0.4962165036752081,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
78.0,10.0,11.0,cresh24,7.0,29.5,-0.9025852843498606,-0.4305110968082952,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
78.0,10.0,10.0,cresh24,7.0,29.75,-0.9523957996432784,-0.3048642990280112,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
74.0,10.0,10.0,cresh24,7.0,29.875,-0.9713420698132612,-0.23768589232617346,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
90.0,10.0,10.0,cresh24,7.0,29.875,-0.9855560590580776,-0.16934950384902486,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
78.0,10.0,10.0,cresh24,7.0,30.125,-0.9945218953682734,-0.10452846326765336,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
77.0,10.0,10.0,cresh24,7.0,29.75,-0.9993908270190958,-0.034899496702500754,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
76.0,10.0,10.0,cresh24,7.0,30.0,-0.999533590836713,0.03053851320982235,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
75.0,10.0,10.0,cresh24,7.0,29.375,-0.9945218953682734,0.10452846326765301,0.0,1.0,0.10638297872340426,0.1914893617021277,0.06382978723404255,0.3829787234042553,0.425531914893617,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
