light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
10.0,10.0,cresh19,52.7389,68.0,44.0,24.805,-0.16504760586067746,-0.9862856015372314,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh19,52.6659,69.0,45.0,24.3754,-0.25038000405444155,-0.9681476403781076,0.7818314824680297,0.6234898018587336,9.0
10.0,10.0,cresh19,85.6598,143.0,66.0,28.6651,0.5336145159156117,-0.8457278217039732,0.0,1.0,10.0
10.0,10.0,cresh19,55.2183,70.0,46.0,23.9416,0.3705574375098363,-0.9288095528719242,0.0,1.0,10.0
9.0,10.0,cresh19,81.7034,148.0,64.0,29.2284,-0.1348509302737229,-0.9908658973868822,0.0,1.0,10.0
9.0,10.0,cresh19,93.8973,92.0,69.0,27.1215,-0.2672383760782568,-0.9636304532086232,0.0,1.0,10.0
9.0,10.0,cresh19,95.8037,123.0,67.0,26.9867,-0.3907311284892736,-0.9205048534524404,0.0,1.0,10.0
10.0,11.0,cresh19,70.7376,46.0,50.0,25.2641,-0.4656145203251114,-0.8849876374630419,0.0,1.0,10.0
10.0,10.0,cresh19,73.453,39.0,45.0,27.6484,-0.6087614290087207,-0.7933533402912352,0.0,1.0,10.0
10.0,10.0,cresh19,71.0242,46.0,45.0,25.4227,-0.6851829903263591,-0.7283709698824002,0.0,1.0,10.0
10.0,10.0,cresh19,72.015,46.0,46.0,25.2474,-0.7660444431189779,-0.6427876096865396,0.0,1.0,10.0
10.0,10.0,cresh19,70.464,46.0,45.0,25.3507,-0.904455145454368,-0.4265687399014586,0.0,1.0,10.0
10.0,10.0,cresh19,69.817,46.0,47.0,25.0722,-0.9335804264972016,-0.3583679495453007,0.0,1.0,10.0
10.0,10.0,cresh19,69.8551,46.0,49.0,24.9408,-0.9600498543859286,-0.2798290140309923,0.0,1.0,9.0
10.0,10.0,cresh19,73.17699999999998,45.0,60.0,25.1473,-0.9807852804032304,-0.19509032201612864,0.0,1.0,9.0
10.0,10.0,cresh19,81.2565,49.0,47.0,25.7178,0.29654157497557104,-0.9550199444571866,0.7818314824680297,0.6234898018587336,9.0
10.0,10.0,cresh19,82.1319,48.0,45.0,25.3225,-0.08715574274765794,-0.9961946980917455,0.7818314824680297,0.6234898018587336,9.0
10.0,10.0,cresh19,81.9404,46.0,45.0,25.0722,-0.19936793441719705,-0.9799247046208296,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh19,80.2004,48.0,47.0,25.5562,-0.3786486173524331,-0.9255405040175664,0.9749279121818236,-0.22252093395631434,9.0
10.0,10.0,cresh19,80.3205,48.0,56.0,25.7763,-0.6156614753256582,-0.788010753606722,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh19,75.7009,46.0,54.0,25.4811,-0.9523957996432784,-0.3048642990280112,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh19,73.3768,1176.0,49.0,26.9569,-0.9876883405951375,-0.15643446504023106,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh19,77.2554,46.0,55.0,25.4675,-0.9972501850994856,-0.07410849019539924,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh19,80.9176,46.0,48.0,25.6313,-0.9988483864849508,-0.0479781285213438,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh19,82.1973,46.0,45.0,25.8211,-0.9993908270190958,0.03489949670250128,0.9749279121818236,-0.22252093395631434,10.0
