heartRate_cozie,light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
83.0,9.0,11.0,cresh23,55.1611,68.0,46.0,23.9416,25.5,0.3746065934159121,-0.9271838545667872,0.0,1.0,11.0
90.0,9.0,11.0,cresh23,55.0163,65.0,48.0,24.1385,27.5,0.2923717047227366,-0.9563047559630355,0.0,1.0,11.0
86.0,9.0,11.0,cresh23,54.9275,70.0,46.0,24.108,27.875,0.21643961393810274,-0.9762960071199334,0.0,1.0,11.0
96.0,9.0,11.0,cresh23,82.2667,136.0,67.0,28.2945,30.125,0.11753739745783755,-0.9930684569549264,0.0,1.0,10.0
96.0,9.0,11.0,cresh23,71.8271,95.0,66.0,28.704,31.375,-0.07410849019539938,-0.9972501850994856,0.0,1.0,10.0
85.0,9.0,11.0,cresh23,81.7034,148.0,64.0,29.2284,31.125,-0.1348509302737229,-0.9908658973868822,0.0,1.0,10.0
116.0,10.0,10.0,cresh23,71.0242,46.0,45.0,25.4227,26.5,-0.6851829903263591,-0.7283709698824002,0.0,1.0,9.0
83.0,10.0,10.0,cresh23,73.7111,47.0,46.0,25.8493,26.75,-0.7431448254773942,-0.6691306063588581,0.0,1.0,10.0
86.0,10.0,10.0,cresh23,70.2725,46.0,55.0,25.2339,26.875,-0.7960020025346222,-0.6052939880428941,0.0,1.0,10.0
89.0,10.0,10.0,cresh23,69.9359,46.0,47.0,25.3507,26.875,-0.8191520442889916,-0.5735764363510464,0.0,1.0,10.0
111.0,10.0,10.0,cresh23,69.723,45.0,46.0,25.3059,26.375,-0.872496007072797,-0.4886212414969554,0.0,1.0,10.0
89.0,10.0,10.0,cresh23,70.464,46.0,45.0,25.3507,27.375,-0.904455145454368,-0.4265687399014586,0.0,1.0,10.0
88.0,10.0,10.0,cresh23,69.817,46.0,47.0,25.0722,26.25,-0.9335804264972016,-0.3583679495453007,0.0,1.0,10.0
97.0,10.0,10.0,cresh23,78.7231,48.0,47.0,25.3059,28.375,0.2756373558169992,-0.9612616959383188,0.7818314824680297,0.6234898018587336,10.0
87.0,10.0,10.0,cresh23,83.8649,48.0,49.0,24.9544,29.25,0.14780941112961082,-0.9890158633619168,0.7818314824680297,0.6234898018587336,10.0
84.0,10.0,10.0,cresh23,84.2062,49.0,44.0,25.116,27.75,-0.034899496702500886,-0.9993908270190958,0.7818314824680297,0.6234898018587336,10.0
101.0,10.0,10.0,cresh23,81.9404,46.0,45.0,25.0722,27.0,-0.19936793441719705,-0.9799247046208296,0.7818314824680297,0.6234898018587336,10.0
84.0,10.0,10.0,cresh23,79.8626,46.0,46.0,25.4227,27.5,-0.9550199444571866,-0.29654157497557104,0.7818314824680297,0.6234898018587336,10.0
83.0,10.0,10.0,cresh23,82.08200000000002,46.0,46.0,25.3507,27.0,-0.9772311064626787,-0.21217767215644648,0.7818314824680297,0.6234898018587336,10.0
129.0,10.0,10.0,cresh23,82.2628,47.0,49.0,25.7178,27.5,-0.992546151641322,-0.12186934340514716,0.7818314824680297,0.6234898018587336,9.0
84.0,10.0,10.0,cresh23,78.4888,669.0,56.0,27.3084,28.125,-0.9975640502598244,0.06975647374412522,0.7818314824680297,0.6234898018587336,9.0
81.0,10.0,10.0,cresh23,82.2247,671.0,59.0,27.2667,28.0,-0.9799247046208296,0.1993679344171969,0.7818314824680297,0.6234898018587336,10.0
112.0,10.0,10.0,cresh23,83.9303,673.0,54.0,27.0018,28.125,-0.9238795325112866,0.38268343236509,0.7818314824680297,0.6234898018587336,10.0
87.0,10.0,10.0,cresh23,82.9205,671.0,49.0,26.8401,28.0,-0.8910065241883679,0.4539904997395466,0.7818314824680297,0.6234898018587336,10.0
121.0,10.0,10.0,cresh23,86.4851,48.0,44.0,25.6313,28.125,0.7101853756232853,-0.7040147244559685,0.9749279121818236,-0.22252093395631434,10.0
92.0,10.0,10.0,cresh23,88.8377,49.0,44.0,25.7178,28.625,0.6427876096865395,-0.7660444431189779,0.9749279121818236,-0.22252093395631434,10.0
103.0,10.0,11.0,cresh23,87.6233,50.0,44.0,25.7314,28.25,0.4771587602596086,-0.8788171126619653,0.9749279121818236,-0.22252093395631434,10.0
