heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder
70.0,10.0,10.0,10.0,cresh07,4.0,54.3496,74.0,46.0,23.751,26.375,-0.34202014332566866,-0.9396926207859084,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
83.0,10.0,10.0,11.0,cresh10,4.0,54.3496,74.0,46.0,23.751,26.75,-0.3461170570774931,-0.938191335922484,-0.433883739117558,-0.9009688679024191,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
61.0,10.0,10.0,10.0,cresh07,4.0,54.4616,71.0,46.0,23.6015,26.25,-0.38268343236508967,-0.9238795325112867,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
92.0,10.0,10.0,11.0,cresh10,4.0,54.4616,71.0,46.0,23.6015,26.25,-0.38268343236508967,-0.9238795325112867,-0.433883739117558,-0.9009688679024191,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
70.0,10.0,10.0,10.0,cresh07,4.0,54.8265,73.0,47.0,23.5289,25.25,-0.46561452032511136,-0.8849876374630419,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
76.0,10.0,10.0,10.0,cresh07,4.0,55.1793,65.0,47.0,23.6605,28.75,-0.5150380749100542,-0.8571673007021123,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
76.0,10.0,11.0,11.0,cresh10,4.0,55.1793,65.0,47.0,23.6605,27.75,-0.5150380749100542,-0.8571673007021123,-0.433883739117558,-0.9009688679024191,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
114.0,10.0,10.0,10.0,cresh08,6.0,80.5197,44.0,62.0,27.7627,29.125,-0.6156614753256582,-0.788010753606722,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,0.0
78.0,11.0,11.0,11.0,cresh07,1.0,78.8651,159.0,65.0,27.6248,31.5,-0.6259234721840591,-0.7798844830928818,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
73.0,10.0,10.0,11.0,cresh12,4.0,54.599,63.0,45.0,23.9142,25.625,-0.6527597524627224,-0.7575649843840495,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
59.0,10.0,10.0,11.0,cresh12,4.0,54.2815,63.0,45.0,23.9585,28.5,-0.6691306063588582,-0.7431448254773942,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
75.0,11.0,11.0,11.0,cresh07,3.0,66.6834,50.0,46.0,26.6077,30.75,-0.6723668074346679,-0.7402181274868322,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.21428571428571427,0.0,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.0
63.0,10.0,10.0,11.0,cresh12,4.0,53.7425,66.0,45.0,24.049,28.625,-0.7313537016191705,-0.6819983600624986,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
82.0,11.0,11.0,11.0,cresh07,1.0,74.8613,254.0,65.0,28.5472,31.375,-0.740218127486832,-0.6723668074346681,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
