heartRate_cozie,light_cozie,noise_cozie,user_id,room,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
70.0,10.0,10.0,cresh07,4.0,26.375,-0.34202014332566866,-0.9396926207859084,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
83.0,10.0,10.0,cresh10,4.0,26.75,-0.3461170570774931,-0.9381913359224839,-0.433883739117558,-0.9009688679024191,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
61.0,10.0,10.0,cresh07,4.0,26.25,-0.3826834323650897,-0.9238795325112868,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
92.0,10.0,10.0,cresh10,4.0,26.25,-0.3826834323650897,-0.9238795325112868,-0.433883739117558,-0.9009688679024191,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
70.0,10.0,10.0,cresh07,4.0,25.25,-0.4656145203251114,-0.8849876374630419,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
76.0,10.0,10.0,cresh07,4.0,28.75,-0.5150380749100542,-0.8571673007021123,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
76.0,10.0,11.0,cresh10,4.0,27.75,-0.5150380749100542,-0.8571673007021123,-0.433883739117558,-0.9009688679024191,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
114.0,10.0,10.0,cresh08,6.0,29.125,-0.6156614753256582,-0.788010753606722,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,0.0,10.0
78.0,11.0,11.0,cresh07,1.0,31.5,-0.6259234721840591,-0.7798844830928818,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
73.0,10.0,10.0,cresh12,4.0,25.625,-0.6527597524627224,-0.7575649843840495,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
59.0,10.0,10.0,cresh12,4.0,28.5,-0.6691306063588582,-0.7431448254773942,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
75.0,11.0,11.0,cresh07,3.0,30.75,-0.6723668074346679,-0.7402181274868322,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.21428571428571427,0.0,0.03571428571428571,0.3928571428571429,0.10714285714285714,0.0,11.0
63.0,10.0,10.0,cresh12,4.0,28.625,-0.7313537016191705,-0.6819983600624986,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
82.0,11.0,11.0,cresh07,1.0,31.375,-0.740218127486832,-0.6723668074346681,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
84.0,10.0,10.0,cresh08,3.0,31.5,-0.788010753606722,-0.6156614753256582,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.21428571428571427,0.0,0.03571428571428571,0.3928571428571429,0.10714285714285714,0.0,10.0
66.0,10.0,10.0,cresh12,4.0,28.125,-0.7906895737438433,-0.6122172800344493,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
82.0,11.0,10.0,cresh12,4.0,27.75,-0.8338858220671681,-0.5519369853120584,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
86.0,10.0,10.0,cresh09,0.0,29.125,-0.8362861558477592,-0.5482932295199142,-0.433883739117558,-0.9009688679024191,0.4705882352941176,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0392156862745098,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,11.0
87.0,10.0,11.0,cresh08,7.0,31.25,-0.8480480961564258,-0.529919264233205,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
88.0,10.0,10.0,cresh07,3.0,30.75,-0.8480480961564258,-0.529919264233205,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.21428571428571427,0.0,0.03571428571428571,0.3928571428571429,0.10714285714285714,0.0,10.0
96.0,10.0,10.0,cresh09,0.0,29.5,-0.8638355052043956,-0.5037739770455265,-0.433883739117558,-0.9009688679024191,0.4705882352941176,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0392156862745098,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,11.0
62.0,10.0,10.0,cresh12,4.0,27.625,-0.8681988144891424,-0.4962165036752081,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
109.0,10.0,10.0,cresh08,4.0,29.25,-0.9025852843498606,-0.4305110968082952,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
66.0,10.0,10.0,cresh12,0.0,27.625,-0.9063077870366502,-0.4226182617406991,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,11.0
66.0,10.0,10.0,cresh12,0.0,27.5,-0.9288095528719243,-0.3705574375098359,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,11.0
85.0,10.0,10.0,cresh07,3.0,30.375,-0.9381913359224839,-0.3461170570774933,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148934,0.2127659574468085,0.0,0.21428571428571427,0.0,0.03571428571428571,0.3928571428571429,0.10714285714285714,0.0,11.0
64.0,10.0,11.0,cresh02,4.0,26.5,0.5948227867513413,-0.8038568606172174,0.0,1.0,0.6949152542372882,0.13559322033898305,0.3559322033898305,0.22033898305084745,0.3559322033898305,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
68.0,10.0,10.0,cresh13,4.0,24.75,0.15643446504023098,-0.9876883405951375,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.4901960784313725,0.5294117647058824,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
83.0,9.0,10.0,cresh13,4.0,27.75,0.0871557427476582,-0.9961946980917455,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.4901960784313725,0.5294117647058824,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
93.0,10.0,11.0,cresh13,10.0,28.25,-0.056692787563377416,-0.9983916705573488,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.4901960784313725,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
79.0,10.0,11.0,cresh13,10.0,27.5,-0.2881962681340892,-0.9575713608048144,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.4901960784313725,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,9.0
70.0,9.0,11.0,cresh15,4.0,25.125,-0.3048642990280109,-0.9523957996432784,0.0,1.0,0.5945945945945946,0.10810810810810813,0.027027027027027032,0.5405405405405406,0.6756756756756757,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,9.0
70.0,10.0,10.0,cresh03,4.0,25.5,-0.3867109616368207,-0.9222009716704518,0.0,1.0,0.2,0.04444444444444445,0.5111111111111111,0.15555555555555556,0.04444444444444445,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
78.0,9.0,11.0,cresh15,4.0,28.5,-0.3907311284892736,-0.9205048534524404,0.0,1.0,0.5945945945945946,0.10810810810810813,0.027027027027027032,0.5405405405405406,0.6756756756756757,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,9.0
75.0,9.0,11.0,cresh15,4.0,28.75,-0.4067366430758002,-0.9135454576426008,0.0,1.0,0.5945945945945946,0.10810810810810813,0.027027027027027032,0.5405405405405406,0.6756756756756757,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,9.0
