light_cozie,noise_cozie,thermal_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos
9.0,11.0,11.0,cresh14,76.3079,113.0,67.0,28.8704,-0.434445257404417,-0.900698239322588,0.0,1.0
10.0,10.0,11.0,cresh03,64.8257,158.0,42.0,23.3456,-0.43837114678907746,-0.8987940462991669,0.0,1.0
9.0,11.0,9.0,cresh14,85.0345,45.0,66.0,27.3889,-0.47331966718484325,-0.8808907382053857,0.0,1.0
9.0,11.0,11.0,cresh15,93.1674,25.0,68.0,25.6232,-0.5075383629607042,-0.8616291604415257,0.0,1.0
9.0,11.0,11.0,cresh15,97.6505,30.0,69.0,24.527,-0.5771451900372335,-0.816641555161679,0.0,1.0
10.0,10.0,10.0,cresh11,57.3777,60.0,44.0,24.0343,-0.6327053285625159,-0.7743926440821857,0.0,1.0
10.0,10.0,10.0,cresh05,57.3278,61.0,46.0,24.0206,-0.636078220277764,-0.77162458338772,0.0,1.0
9.0,11.0,10.0,cresh13,96.3414,41.0,65.0,24.5407,-0.6560590289905072,-0.7547095802227721,0.0,1.0
10.0,10.0,10.0,cresh11,56.6161,60.0,47.0,23.9869,-0.6626200482157376,-0.7489557207890021,0.0,1.0
10.0,10.0,10.0,cresh01,56.3777,60.0,45.0,23.9585,-0.6691306063588582,-0.7431448254773942,0.0,1.0
10.0,10.0,10.0,cresh05,56.2877,61.0,46.0,23.9279,-0.6723668074346679,-0.7402181274868322,0.0,1.0
10.0,10.0,10.0,cresh04,55.7816,60.0,45.0,23.8974,-0.7101853756232854,-0.7040147244559684,0.0,1.0
10.0,10.0,11.0,cresh11,55.2463,60.0,46.0,23.9416,-0.7253743710122875,-0.688354575693754,0.0,1.0
9.0,11.0,10.0,cresh13,67.79899999999999,22.0,46.0,25.8201,-0.7518398074789773,-0.6593458151000691,0.0,1.0
10.0,10.0,11.0,cresh01,55.2353,62.0,45.0,23.751,-0.7518398074789773,-0.6593458151000691,0.0,1.0
9.0,10.0,11.0,cresh06,55.5285,60.0,46.0,23.4551,-0.8090169943749473,-0.5877852522924732,0.0,1.0
9.0,10.0,10.0,cresh06,56.0638,63.0,44.0,23.4836,-0.838670567945424,-0.544639035015027,0.0,1.0
10.0,10.0,9.0,cresh01,62.3171,283.0,52.0,26.9783,-0.8849876374630418,-0.4656145203251116,0.0,1.0
9.0,10.0,9.0,cresh01,61.9886,200.0,49.0,27.1278,-0.9117620435770883,-0.4107188526134777,0.0,1.0
10.0,11.0,10.0,cresh13,61.0603,80.0,48.0,26.5592,-0.913545457642601,-0.4067366430758001,0.0,1.0
10.0,10.0,9.0,cresh01,62.2903,241.0,48.0,27.052,-0.938191335922484,-0.34611705707749335,0.0,1.0
9.0,11.0,11.0,cresh13,60.9861,81.0,54.0,26.5761,-0.958819734868193,-0.28401534470392265,0.0,1.0
10.0,10.0,10.0,cresh01,61.8402,419.0,49.0,27.1415,-0.958819734868193,-0.28401534470392265,0.0,1.0
9.0,11.0,11.0,cresh13,60.716,80.0,55.0,26.6803,-0.9753423205085128,-0.22069743502150077,0.0,1.0
9.0,11.0,11.0,cresh13,60.6418,74.0,55.0,26.6635,-0.9953961983671787,-0.09584575252022441,0.0,1.0
10.0,10.0,10.0,cresh14,81.4314,17.0,48.0,28.1658,-0.9953961983671789,0.09584575252022405,0.0,1.0
9.0,11.0,11.0,cresh13,60.1868,62.0,46.0,26.3971,-0.9411760152563707,0.3379167180033267,0.0,1.0
10.0,10.0,9.0,cresh14,60.1868,62.0,46.0,26.3971,-0.9396926207859083,0.34202014332566905,0.0,1.0
9.0,11.0,10.0,cresh13,60.07,62.0,47.0,26.3655,-0.9081431738250815,0.41865973753742775,0.0,1.0
9.0,11.0,11.0,cresh13,61.6273,60.0,54.0,26.3971,-0.8265897491271887,0.5628049276950685,0.0,1.0
9.0,11.0,11.0,cresh13,70.4488,62.0,56.0,27.4647,-0.47715876025960874,0.8788171126619652,0.0,1.0
10.0,10.0,10.0,cresh06,83.1548,1294.0,47.0,27.0748,0.5446390350150273,-0.8386705679454239,0.7818314824680297,0.6234898018587336
11.0,10.0,10.0,cresh11,63.3706,158.0,51.0,26.6245,0.17794354547384184,-0.9840406976462909,0.7818314824680297,0.6234898018587336
9.0,10.0,10.0,cresh01,86.1537,176.0,63.0,26.7224,0.12186934340514755,-0.992546151641322,0.7818314824680297,0.6234898018587336
10.0,11.0,11.0,cresh11,86.1537,176.0,63.0,26.7224,0.12186934340514755,-0.992546151641322,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh15,55.1222,188.0,42.0,24.7429,0.09150161866340258,-0.9958049275746617,0.7818314824680297,0.6234898018587336
9.0,10.0,10.0,cresh14,60.8328,92.0,48.0,26.3234,0.07845909572784507,-0.996917333733128,0.7818314824680297,0.6234898018587336
9.0,10.0,10.0,cresh01,83.3872,203.0,65.0,27.2426,0.05669278756337766,-0.9983916705573488,0.7818314824680297,0.6234898018587336
11.0,11.0,11.0,cresh11,83.7278,195.0,68.0,27.6111,0.03489949670250114,-0.9993908270190958,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.5041,70.0,45.0,24.5797,0.017452406437283435,-0.9998476951563913,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.3532,70.0,45.0,24.625,0.017452406437283435,-0.9998476951563913,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.0114,70.0,44.0,24.7155,-0.017452406437283637,-0.9998476951563913,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.3983,70.0,44.0,24.3438,-0.08280820751220438,-0.9965655024977614,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.6756,68.0,44.0,24.2712,-0.1478094111296106,-0.9890158633619168,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.4761,68.0,45.0,24.2712,-0.19509032201612836,-0.9807852804032304,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,61.182,84.0,47.0,26.3971,-0.22920039092241432,-0.9733792584604485,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.3849,68.0,45.0,24.3301,-0.2588190451025208,-0.9659258262890683,0.7818314824680297,0.6234898018587336
9.0,10.0,10.0,cresh14,60.9496,84.0,49.0,26.3971,-0.30486429902801093,-0.9523957996432784,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,53.6428,71.0,44.0,24.1217,-0.32143946530316153,-0.9469301294951057,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh05,56.5614,227.0,42.0,22.7381,-0.36650122672429736,-0.9304175679820245,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh05,56.604,225.0,42.0,22.7549,-0.374606593415912,-0.9271838545667874,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh06,53.3569,71.0,48.0,24.3754,-0.38268343236508967,-0.9238795325112867,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,60.5482,89.0,47.0,26.4834,-0.4809887689193874,-0.8767267557075078,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh11,62.3974,313.0,49.0,26.993,-0.4962165036752082,-0.8681988144891423,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,53.3313,70.0,45.0,24.805,-0.5000000000000001,-0.8660254037844386,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh01,62.1808,287.0,49.0,27.052,-0.5299192642332048,-0.8480480961564261,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,53.6014,66.0,44.0,24.7461,-0.5555702330196023,-0.8314696123025451,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,60.3012,89.0,65.0,26.5287,-0.5913096483635824,-0.8064446042674825,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,53.3508,65.0,44.0,24.6113,-0.6087614290087207,-0.7933533402912352,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh09,82.4407,237.0,67.0,28.1597,-0.6122172800344491,-0.7906895737438435,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh04,57.2609,187.0,44.0,22.9329,-0.6293203910498376,-0.7771459614569708,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh01,61.7574,279.0,52.0,27.1562,-0.6394390019805846,-0.7688418320734597,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,53.4372,72.0,44.0,24.625,-0.6593458151000688,-0.7518398074789774,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh01,61.8353,338.0,49.0,27.1278,-0.6915130557822693,-0.7223639620597557,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,60.1917,88.0,51.0,26.515,-0.6946583704589974,-0.7193398003386511,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,53.1197,71.0,44.0,24.6113,-0.7071067811865475,-0.7071067811865477,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,60.1309,85.0,49.0,26.5592,-0.7372773368101239,-0.6755902076156605,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,52.9165,68.0,44.0,24.6734,-0.7518398074789773,-0.6593458151000691,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,52.9615,67.0,44.0,24.6566,-0.7547095802227719,-0.6560590289905074,0.7818314824680297,0.6234898018587336
10.0,11.0,11.0,cresh13,60.3486,83.0,52.0,26.5592,-0.7575649843840494,-0.6527597524627228,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh09,77.01100000000002,214.0,64.0,29.0484,-0.760405965600031,-0.6494480483301834,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh06,53.1343,68.0,44.0,24.566,-0.7933533402912349,-0.6087614290087209,0.7818314824680297,0.6234898018587336
9.0,10.0,11.0,cresh13,60.8474,82.0,53.0,26.6635,-0.8241261886220157,-0.5664062369248328,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh04,61.4728,259.0,50.0,27.2931,-0.8571673007021121,-0.5150380749100545,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,74.0191,80.0,69.0,27.6172,-0.8594064115014528,-0.5112930860770518,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh01,61.6954,299.0,48.0,27.2626,-0.900698239322588,-0.43444525740441686,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,60.4654,77.0,54.0,26.7393,-0.9025852843498606,-0.43051109680829514,0.7818314824680297,0.6234898018587336
10.0,10.0,9.0,cresh01,61.4545,551.0,48.0,27.3352,-0.9271838545667873,-0.3746065934159123,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh14,60.1479,80.0,56.0,26.754,-0.9304175679820246,-0.3665012267242972,0.7818314824680297,0.6234898018587336
11.0,10.0,10.0,cresh01,61.3876,376.0,49.0,27.3805,-0.9681476403781076,-0.25038000405444183,0.7818314824680297,0.6234898018587336
9.0,10.0,11.0,cresh13,60.2963,77.0,55.0,26.6803,-0.981627183447664,-0.1908089953765446,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh01,61.5993,282.0,52.0,27.3668,-0.9824503977255097,-0.18652403600873468,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh13,60.2185,69.0,52.0,26.7087,-0.9998476951563913,-0.017452406437283498,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh05,54.3204,157.0,42.0,23.571,-0.9990482215818578,0.04361938736533577,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh13,60.2477,65.0,50.0,26.6803,-0.9949685182509117,0.10018806161207608,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh05,52.57100000000001,11.0,44.0,24.1975,-0.9848077530122081,0.17364817766692997,0.7818314824680297,0.6234898018587336
11.0,10.0,10.0,cresh05,61.3146,183.0,49.0,27.2931,-0.9807852804032304,0.19509032201612828,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh13,60.4131,61.0,51.0,26.5908,-0.9733792584604486,0.2292003909224138,0.7818314824680297,0.6234898018587336
11.0,10.0,10.0,cresh05,61.4788,172.0,49.0,27.2173,-0.9575713608048143,0.2881962681340896,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh05,85.9274,101.0,64.0,27.8027,-0.9469301294951057,0.3214394653031615,0.7818314824680297,0.6234898018587336
9.0,10.0,10.0,cresh05,85.2011,101.0,67.0,27.7743,-0.945518575599317,0.3255681544571563,0.7818314824680297,0.6234898018587336
10.0,11.0,11.0,cresh13,87.8472,104.0,64.0,27.4479,-0.9288095528719241,0.3705574375098364,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh07,78.3955,1294.0,51.0,26.3686,-0.9081431738250815,0.41865973753742775,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh08,64.395,171.0,49.0,27.7522,-0.861629160441526,0.5075383629607038,0.7818314824680297,0.6234898018587336
10.0,10.0,11.0,cresh07,64.9765,172.0,51.0,27.9175,-0.814115518356319,0.58070295571094,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh07,65.99,172.0,48.0,27.9007,-0.7826081568524141,0.6225146366376193,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh08,71.092,16.0,59.0,29.9983,-0.7431448254773947,0.6691306063588578,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh07,66.8513,172.0,48.0,27.9007,-0.740218127486832,0.6723668074346681,0.7818314824680297,0.6234898018587336
10.0,10.0,10.0,cresh07,81.9273,132.0,64.0,27.8638,0.48098876891938763,-0.8767267557075078,0.9749279121818236,-0.22252093395631434
9.0,11.0,10.0,cresh07,81.9455,120.0,68.0,28.205,0.4226182617406995,-0.9063077870366499,0.9749279121818236,-0.22252093395631434
9.0,11.0,10.0,cresh07,80.1803,123.0,65.0,28.4545,0.36243803828370175,-0.9320078692827984,0.9749279121818236,-0.22252093395631434
9.0,11.0,10.0,cresh07,72.0935,65.0,64.0,27.3501,0.3007057995042733,-0.9537169507482268,0.9749279121818236,-0.22252093395631434
10.0,11.0,10.0,cresh10,65.0749,1294.0,55.0,26.7932,0.28819626813408944,-0.9575713608048144,0.9749279121818236,-0.22252093395631434
9.0,10.0,10.0,cresh07,70.4165,77.0,65.0,27.6318,0.2334453638559055,-0.9723699203976766,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh05,73.837,147.0,69.0,28.9294,0.2249510543438652,-0.9743700647852351,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh05,62.4254,157.0,48.0,26.8014,0.2121776721564464,-0.9772311064626789,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,53.0844,72.0,44.0,24.2849,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,53.0844,72.0,44.0,24.2849,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,53.0917,71.0,44.0,24.2564,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,53.0917,71.0,44.0,24.2564,0.19080899537654497,-0.981627183447664,0.9749279121818236,-0.22252093395631434
9.0,11.0,10.0,cresh07,71.65100000000002,83.0,64.0,27.5869,0.1822355254921477,-0.9832549075639545,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,52.8885,71.0,45.0,24.4175,0.13052619222005155,-0.9914448613738104,0.9749279121818236,-0.22252093395631434
