heartRate_cozie,light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
64.0,10.0,11.0,cresh02,56.5979,66.0,45.0,23.6605,26.5,0.5948227867513413,-0.8038568606172174,0.0,1.0,10.0
111.0,9.0,11.0,cresh02,62.2027,211.0,46.0,26.8467,29.25,0.07845909572784507,-0.9969173337331279,0.9749279121818236,-0.22252093395631434,11.0
78.0,10.0,10.0,cresh02,61.8913,351.0,49.0,27.2489,29.375,-0.36650122672429736,-0.9304175679820244,0.9749279121818236,-0.22252093395631434,11.0
98.0,10.0,11.0,cresh02,61.8183,354.0,55.0,27.3521,28.875,-0.4733196671848433,-0.8808907382053857,0.9749279121818236,-0.22252093395631434,11.0
97.0,9.0,11.0,cresh02,60.4654,558.0,49.0,27.7659,30.125,-0.8090169943749473,-0.5877852522924732,0.9749279121818236,-0.22252093395631434,11.0
95.0,10.0,10.0,cresh02,60.3705,563.0,50.0,27.8112,30.125,-0.8090169943749473,-0.5877852522924732,0.9749279121818236,-0.22252093395631434,11.0
73.0,9.0,11.0,cresh02,59.8389,573.0,49.0,27.8385,29.75,-0.8808907382053857,-0.4733196671848431,0.9749279121818236,-0.22252093395631434,11.0
74.0,9.0,11.0,cresh02,53.25100000000001,65.0,44.0,24.8187,24.875,-0.8594064115014528,-0.5112930860770518,0.43388373911755823,-0.9009688679024191,11.0
73.0,10.0,11.0,cresh02,53.919,70.0,44.0,24.1532,26.75,0.42656873990145855,-0.904455145454368,0.0,1.0,9.0
61.0,11.0,10.0,cresh02,59.3498,146.0,49.0,27.3521,28.5,0.3048642990280107,-0.9523957996432784,0.0,1.0,10.0
57.0,11.0,11.0,cresh02,59.0225,130.0,47.0,27.3942,28.125,0.21643961393810274,-0.9762960071199334,0.0,1.0,11.0
56.0,9.0,10.0,cresh02,59.1491,129.0,46.0,27.3352,28.125,0.2079116908177593,-0.9781476007338056,0.0,1.0,9.0
71.0,9.0,11.0,cresh02,57.6843,185.0,49.0,27.7206,28.75,0.034899496702501136,-0.9993908270190958,0.7818314824680297,0.6234898018587336,11.0
74.0,11.0,11.0,cresh02,57.7561,186.0,53.0,27.7069,28.625,0.021814885034561214,-0.9997620270799092,0.7818314824680297,0.6234898018587336,11.0
65.0,9.0,10.0,cresh02,56.1879,1294.0,52.0,28.6146,30.0,-0.9222009716704516,-0.3867109616368209,0.7818314824680297,0.6234898018587336,11.0
80.0,10.0,10.0,cresh02,56.4446,1294.0,52.0,28.5419,30.125,-0.9469301294951056,-0.3214394653031618,0.7818314824680297,0.6234898018587336,10.0
