heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
62.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,69.3924,46.0,47.0,25.3059,29.0,-0.8681988144891424,-0.4962165036752081,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
69.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,70.0132,46.0,48.0,25.381,29.75,-0.900698239322588,-0.4344452574044169,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
67.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,69.0808,46.0,46.0,25.0441,29.375,-0.9288095528719243,-0.3705574375098359,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
64.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,69.6219,46.0,55.0,25.0138,29.75,-0.9537169507482268,-0.3007057995042729,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
63.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,69.6089,45.0,50.0,24.9272,29.625,-0.9563047559630352,-0.29237170472273705,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
65.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_B,69.4471,16.0,52.0,27.0748,29.5,-0.9713420698132612,-0.23768589232617346,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.03448275862068965,0.03448275862068965,0.0,10.0
68.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,72.053,46.0,46.0,25.189,29.375,-0.9862856015372314,-0.1650476058606773,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
72.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,72.0423,45.0,56.0,25.381,28.75,-0.9953961983671789,-0.0958457525202244,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
66.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,69.5839,43.0,56.0,25.4675,29.0,-0.9996573249755571,-0.026176948307873482,0.0,1.0,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,11.0
68.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,81.2565,49.0,47.0,25.7178,28.375,0.3007057995042733,-0.9537169507482268,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
