heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
88.0,10.0,10.0,cresh21,BUILDING_MATERIALS_LAB,52.9165,63.0,45.0,24.6397,29.25,-0.9743700647852352,-0.22495105434386528,0.9749279121818236,-0.22252093395631434,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
115.0,10.0,10.0,cresh21,OPEN_EXHIBITION_SPACE_2,97.5337,107.0,66.0,26.9593,29.375,-0.3173046564050919,-0.9483236552061994,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,10.0
94.0,10.0,10.0,cresh21,CAFE,76.7963,75.0,69.0,28.5287,29.625,-0.3255681544571568,-0.9455185755993168,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,11.0
93.0,10.0,10.0,cresh21,OPEN_EXHIBITION_SPACE_2,96.4826,119.0,69.0,26.8688,30.625,-0.3987490689252463,-0.917060074385124,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
103.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,71.1884,46.0,45.0,25.3361,27.625,-0.4539904997395467,-0.8910065241883679,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,11.0
103.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,70.4379,46.0,49.0,25.2474,27.5,-0.5150380749100542,-0.8571673007021123,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,11.0
86.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,69.3924,46.0,45.0,25.3059,26.375,-0.5771451900372335,-0.8166415551616791,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
82.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,73.4113,46.0,44.0,25.4811,26.5,-0.6360782202777641,-0.77162458338772,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
89.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_B,67.5013,35.0,46.0,27.4586,26.875,-0.6915130557822693,-0.7223639620597557,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.03448275862068965,0.03448275862068965,0.0,10.0
82.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,73.7111,47.0,46.0,25.8493,27.5,-0.7431448254773942,-0.6691306063588581,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
82.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,70.6555,46.0,52.0,24.9126,27.0,-0.788010753606722,-0.6156614753256582,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
108.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,69.3424,45.0,45.0,25.381,29.0,-0.8314696123025452,-0.5555702330196022,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
113.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,70.0132,46.0,48.0,25.381,27.5,-0.9025852843498606,-0.4305110968082952,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
125.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,74.0917,43.0,56.0,25.8075,27.75,-0.9993908270190958,0.03489949670250128,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
97.0,10.0,10.0,cresh21,BUILDING_MATERIALS_LAB,53.1513,60.0,48.0,24.108,27.625,-0.9930684569549264,0.11753739745783726,0.0,1.0,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
103.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,88.155,49.0,50.0,25.4529,28.75,-0.872496007072797,-0.4886212414969554,0.7818314824680297,0.6234898018587336,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,11.0
74.0,10.0,10.0,cresh21,EXECUTIVE_SEMINAR_ROOM_A,84.0338,46.0,45.0,25.9077,27.0,-0.9681476403781076,-0.25038000405444183,0.7818314824680297,0.6234898018587336,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
