light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
10.0,10.0,cresh13,55.6185,77.0,47.0,23.4246,0.15643446504023098,-0.9876883405951375,0.0,1.0,10.0
9.0,10.0,cresh13,55.6185,68.0,45.0,23.5004,0.0871557427476582,-0.9961946980917455,0.0,1.0,10.0
10.0,11.0,cresh13,61.3389,44.0,53.0,26.2928,-0.056692787563377416,-0.9983916705573488,0.0,1.0,10.0
10.0,11.0,cresh13,59.7391,46.0,57.0,26.6635,-0.2881962681340892,-0.9575713608048144,0.0,1.0,9.0
9.0,11.0,cresh13,96.3414,41.0,65.0,24.5407,-0.6560590289905072,-0.7547095802227721,0.0,1.0,10.0
9.0,11.0,cresh13,67.79899999999999,22.0,46.0,25.8201,-0.7518398074789773,-0.6593458151000691,0.0,1.0,10.0
10.0,11.0,cresh13,61.0603,80.0,48.0,26.5592,-0.913545457642601,-0.4067366430758001,0.0,1.0,10.0
9.0,11.0,cresh13,60.9861,81.0,54.0,26.5761,-0.9588197348681929,-0.28401534470392265,0.0,1.0,11.0
9.0,11.0,cresh13,60.716,80.0,55.0,26.6803,-0.9753423205085128,-0.2206974350215008,0.0,1.0,11.0
9.0,11.0,cresh13,60.6418,74.0,55.0,26.6635,-0.9953961983671789,-0.0958457525202244,0.0,1.0,11.0
9.0,11.0,cresh13,60.1868,62.0,46.0,26.3971,-0.9411760152563708,0.3379167180033267,0.0,1.0,11.0
9.0,11.0,cresh13,60.07,62.0,47.0,26.3655,-0.9081431738250816,0.41865973753742775,0.0,1.0,10.0
9.0,11.0,cresh13,61.6273,60.0,54.0,26.3971,-0.8265897491271887,0.5628049276950685,0.0,1.0,11.0
9.0,11.0,cresh13,70.4488,62.0,56.0,27.4647,-0.4771587602596088,0.8788171126619652,0.0,1.0,11.0
10.0,11.0,cresh13,60.3486,83.0,52.0,26.5592,-0.7575649843840494,-0.6527597524627228,0.7818314824680297,0.6234898018587336,11.0
9.0,10.0,cresh13,60.8474,82.0,53.0,26.6635,-0.8241261886220157,-0.5664062369248328,0.7818314824680297,0.6234898018587336,11.0
9.0,10.0,cresh13,60.2963,77.0,55.0,26.6803,-0.9816271834476641,-0.1908089953765446,0.7818314824680297,0.6234898018587336,11.0
10.0,10.0,cresh13,60.2185,69.0,52.0,26.7087,-0.9998476951563912,-0.017452406437283498,0.7818314824680297,0.6234898018587336,11.0
10.0,10.0,cresh13,60.2477,65.0,50.0,26.6803,-0.9949685182509116,0.10018806161207608,0.7818314824680297,0.6234898018587336,11.0
10.0,10.0,cresh13,60.4131,61.0,51.0,26.5908,-0.9733792584604486,0.2292003909224138,0.7818314824680297,0.6234898018587336,10.0
10.0,11.0,cresh13,87.8472,104.0,64.0,27.4479,-0.928809552871924,0.3705574375098364,0.7818314824680297,0.6234898018587336,11.0
9.0,10.0,cresh13,52.3897,63.0,44.0,24.566,-0.9702957262759964,-0.2419218955996678,0.9749279121818236,-0.22252093395631434,11.0
9.0,10.0,cresh13,60.025,60.0,54.0,26.6498,-0.8526401643540922,0.522498564715949,0.9749279121818236,-0.22252093395631434,10.0
9.0,10.0,cresh13,60.3182,47.0,47.0,26.6803,-0.16504760586067746,-0.9862856015372314,0.43388373911755823,-0.9009688679024191,10.0
9.0,11.0,cresh13,59.2403,61.0,55.0,26.754,-0.9681476403781076,0.2503800040544415,0.43388373911755823,-0.9009688679024191,11.0
9.0,11.0,cresh13,84.1159,99.0,63.0,27.9828,-0.9222009716704518,0.3867109616368206,0.43388373911755823,-0.9009688679024191,11.0
9.0,10.0,cresh13,60.0311,46.0,47.0,26.4834,-0.08280820751220437,-0.9965655024977614,-0.433883739117558,-0.9009688679024191,10.0
10.0,11.0,cresh13,70.2505,186.0,68.0,30.6699,-0.4383711467890775,-0.8987940462991669,-0.433883739117558,-0.9009688679024191,11.0
10.0,10.0,cresh13,59.7805,47.0,51.0,26.8404,-0.646123979642964,-0.7632324697825288,-0.433883739117558,-0.9009688679024191,10.0
9.0,11.0,cresh13,59.4009,41.0,56.0,26.8856,-0.904455145454368,-0.4265687399014586,-0.433883739117558,-0.9009688679024191,10.0
10.0,11.0,cresh13,58.9033,70.0,57.0,26.813,-0.9953961983671789,0.09584575252022404,-0.433883739117558,-0.9009688679024191,10.0
